date,particulate matter,pm2.5,pm5,particulate matter pollution,fine particulates,isPartial,particulate matter,air pollution,fine particles,fine inhalable particles,particle pollution,isPartial,particulate matter,wildfires,power plants,industrial pollution,organic carbon,isPartial,particulate matter,traffic,traffic emission,tailpipe,sulfate,isPartial,particulate matter,black carbon,elemental carbon,soot,smog,isPartial,particulate matter,haze,code orange,code red,air pollution alert,isPartial,particulate matter,grey,blue,pink,asthma,isPartial,particulate matter,respiratory illness,respiratory infection,lung disease,bronchitis,isPartial,particulate matter,chronic obstructive pulmonary disease,COPD,lung cancer,cardiovascular disease,isPartial,particulate matter,premature death,Rapid heart rate,rapid pulse,rapid breathing,isPartial,particulate matter,asthma attack,coughing,arrhythmia,wheezing,isPartial,particulate matter,chest tightness,shortness of breath,throat irritation,inhaler use,isPartial,particulate matter,childhood asthma,pediatric asthma,isPartial
2007-01-01,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,10,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,3,35,12,0,False,0,0,0,0,41,False,0,0,0,44,44,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2007-01-02,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,18,0,0,5,False,0,0,0,0,0,False,0,23,0,0,0,False,0,6,50,5,3,False,0,0,0,0,0,False,0,0,0,51,0,False,0,0,0,0,0,False,0,0,35,0,0,False,0,0,0,0,0,False,0,0,0,False
2007-01-03,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,23,0,0,6,False,0,0,0,0,0,False,0,0,0,0,0,False,0,10,60,7,0,False,0,0,23,0,23,False,0,0,0,25,0,False,0,0,0,0,0,False,0,0,67,33,0,False,0,0,0,0,0,False,0,0,0,False
2007-01-04,0,0,0,0,0,False,0,0,0,0,0,False,0,0,16,0,0,False,0,29,0,0,0,False,0,0,0,0,0,False,0,0,0,22,0,False,0,2,57,7,0,False,0,0,0,0,23,False,0,0,0,0,0,False,0,0,63,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2007-01-05,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,46,0,0,0,False,0,0,0,0,0,False,0,22,0,22,0,False,0,2,60,16,0,False,0,0,0,23,34,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,39,0,0,False,0,0,0,False
2007-01-06,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,23,False,0,11,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,7,39,9,4,False,0,0,0,0,0,False,0,0,0,37,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2007-01-07,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,9,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,5,44,21,4,False,0,0,0,0,34,False,0,0,0,36,0,False,0,0,0,0,0,False,0,0,0,0,49,False,0,0,0,0,0,False,0,0,0,False
2007-01-08,0,0,0,0,0,False,0,0,0,0,0,False,0,0,15,0,0,False,0,21,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,4,56,10,2,False,0,0,0,0,45,False,0,0,24,24,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2007-01-09,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,39,0,0,4,False,0,0,0,0,0,False,0,0,21,0,0,False,0,2,65,11,3,False,0,0,0,43,32,False,0,0,23,23,23,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2007-01-10,97,0,0,0,0,False,0,0,0,0,0,False,0,15,30,0,0,False,4,20,0,0,0,False,0,0,0,0,0,False,21,21,0,0,0,False,2,2,55,10,3,False,22,0,0,0,0,False,23,0,0,24,0,False,59,0,59,0,0,False,31,0,31,0,0,False,0,0,38,0,0,False,0,0,0,False
