date,ozone,discover,clothes,isPartial,ozone,headache,smoke,cough,chest pain,isPartial,ozone,shoes,lung cancer,traffic,copd,isPartial,ozone,code red,haze,shortness of breath,inhaler,isPartial,ozone,air pollution,coughing,respiratory infection,smog,isPartial,ozone,power plants,lung disease,arrhythmia,code orange,isPartial,ozone,sulfate,no2,heart murmur,chest tightness,isPartial,ozone,cardiovascular disease,irregular heartbeat,o3,snoring,isPartial,ozone,tailpipe,organic carbon,nitrogen dioxide,rapid heart rate,isPartial,ozone,asthma,rapid breathing,inhaler use,bronchitis,isPartial,ozone,difficulty breathing,soot,throat irritation,chronic obstructive pulmonary disease,isPartial,ozone,wheezing,air pollutant,wildfires,respiratory illness,isPartial,ozone,premature death,bronchiolitis,black carbon,smoggy,isPartial,ozone,asthma attack,particulate matter,pm2.5,air pollution alert,isPartial,ozone,childhood asthma,elemental carbon,fine inhalable particles,fine particles,isPartial,ozone,fine particulates,industrial pollution,lung irritation,n02,isPartial,ozone,nitrogen oxides,oxides of nitrogen,traffic emission,particle pollution,isPartial,ozone,particulate matter pollution,pediatric asthma,pm5,rapid pulse,isPartial,ozone,traffic exposure,isPartial
2007-01-01,0,22,61,FALSE,0,0,18,18,0,FALSE,0,48,5,10,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,47,0,0,0,FALSE,0,0,0,0,0,FALSE,0,33,0,0,0,FALSE,0,0,0,46,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,FALSE
2007-01-02,0,27,27,FALSE,10,10,0,21,0,FALSE,3,56,0,12,0,FALSE,0,0,0,27,0,FALSE,0,0,27,0,27,FALSE,27,0,0,0,0,FALSE,0,27,0,27,0,FALSE,27,0,0,0,0,FALSE,0,0,0,0,0,FALSE,19,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,27,0,0,0,0,FALSE,27,0,0,0,0,FALSE,27,0,0,0,0,FALSE,27,0,FALSE
2007-01-03,6,25,25,FALSE,0,30,15,0,0,FALSE,3,51,3,13,0,FALSE,26,26,0,0,0,FALSE,26,0,26,0,0,FALSE,26,0,0,0,0,FALSE,26,39,0,26,0,FALSE,26,0,0,0,0,FALSE,26,0,0,0,0,FALSE,18,27,0,0,0,FALSE,26,0,0,0,0,FALSE,9,0,0,0,0,FALSE,26,0,0,0,0,FALSE,26,0,0,0,0,FALSE,26,0,0,0,0,FALSE,26,0,0,0,0,FALSE,26,0,0,0,0,FALSE,26,0,0,0,0,FALSE,26,0,FALSE
2007-01-04,6,19,41,FALSE,10,10,20,10,0,FALSE,3,53,6,22,0,FALSE,26,0,26,0,26,FALSE,26,0,0,0,0,FALSE,26,0,0,0,0,FALSE,26,26,0,26,0,FALSE,26,0,0,0,0,FALSE,26,0,0,0,52,FALSE,18,37,0,0,0,FALSE,26,0,0,0,0,FALSE,10,0,0,0,0,FALSE,26,0,0,0,0,FALSE,26,0,0,0,0,FALSE,26,0,0,0,0,FALSE,26,0,0,0,0,FALSE,26,0,0,0,0,FALSE,26,0,0,0,0,FALSE,26,0,FALSE
2007-01-05,0,6,32,FALSE,0,30,20,10,10,FALSE,0,47,0,34,0,FALSE,0,26,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,26,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,54,0,0,18,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,FALSE
2007-01-06,9,28,42,FALSE,0,22,15,22,0,FALSE,4,77,0,9,4,FALSE,39,0,39,0,0,FALSE,39,0,0,0,0,FALSE,39,0,0,0,0,FALSE,39,0,0,0,38,FALSE,39,0,0,0,0,FALSE,39,0,0,0,0,FALSE,27,41,0,0,0,FALSE,39,0,0,0,0,FALSE,14,0,0,0,0,FALSE,39,0,0,0,0,FALSE,39,0,0,0,0,FALSE,39,0,0,0,0,FALSE,39,0,0,0,0,FALSE,39,0,0,0,0,FALSE,39,0,0,0,0,FALSE,39,0,FALSE
2007-01-07,9,14,32,FALSE,15,15,44,29,15,FALSE,0,61,4,17,0,FALSE,38,0,0,0,0,FALSE,38,0,0,0,0,FALSE,38,0,0,0,0,FALSE,38,0,0,0,0,FALSE,0,0,0,0,0,FALSE,38,0,0,0,0,FALSE,0,0,0,0,27,FALSE,38,0,0,0,0,FALSE,14,0,0,0,0,FALSE,38,0,0,0,0,FALSE,38,0,0,0,0,FALSE,38,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,FALSE
2007-01-08,6,12,27,FALSE,9,19,9,29,0,FALSE,3,47,5,22,3,FALSE,25,0,0,0,0,FALSE,25,0,0,0,0,FALSE,25,25,25,0,0,FALSE,25,25,0,0,0,FALSE,25,0,0,0,0,FALSE,25,0,0,0,0,FALSE,17,0,0,0,0,FALSE,25,0,0,0,0,FALSE,9,0,0,0,0,FALSE,25,0,0,0,0,FALSE,25,0,0,0,0,FALSE,25,0,0,0,0,FALSE,25,0,0,0,0,FALSE,25,0,0,0,0,FALSE,25,0,0,0,0,FALSE,25,0,FALSE
2007-01-09,6,24,45,FALSE,9,19,14,19,9,FALSE,3,49,0,19,5,FALSE,25,0,25,0,0,FALSE,25,0,25,0,25,FALSE,25,0,25,0,0,FALSE,25,49,0,0,0,FALSE,25,0,0,0,0,FALSE,25,0,0,0,0,FALSE,17,17,0,0,17,FALSE,25,0,0,0,0,FALSE,9,0,0,0,0,FALSE,25,0,0,0,0,FALSE,25,0,0,0,0,FALSE,25,0,0,0,0,FALSE,25,0,0,0,0,FALSE,25,0,0,0,0,FALSE,25,0,0,0,0,FALSE,25,0,FALSE
2007-01-10,0,30,36,FALSE,0,19,19,10,0,FALSE,0,31,4,19,0,FALSE,0,0,49,0,25,FALSE,0,0,0,0,0,FALSE,0,24,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,34,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,FALSE
