,ozone,discover,clothes,ozone.1,headache,smoke,cough,chest pain,ozone.2,shoes,lung cancer,traffic,copd,ozone.3,code red,haze,shortness of breath,inhaler,ozone.4,air pollution,coughing,respiratory infection,smog,ozone.5,power plants,lung disease,arrhythmia,code orange,ozone.6,sulfate,no2,heart murmur,chest tightness,ozone.7,cardiovascular disease,irregular heartbeat,o3,snoring,ozone.8,tailpipe,organic carbon,nitrogen dioxide,rapid heart rate,ozone.9,asthma,rapid breathing,inhaler use,bronchitis,ozone.10,difficulty breathing,soot,throat irritation,chronic obstructive pulmonary disease,ozone.11,wheezing,air pollutant,wildfires,respiratory illness,ozone.12,premature death,bronchiolitis,black carbon,smoggy,ozone.13,asthma attack,particulate matter,pm2.5,air pollution alert,ozone.14,childhood asthma,elemental carbon,fine inhalable particles,fine particles,ozone.15,fine particulates,industrial pollution,lung irritation,n02,ozone.16,nitrogen oxides,oxides of nitrogen,traffic emission,particle pollution,ozone.17,particulate matter pollution,pediatric asthma,pm5,rapid pulse,ozone.18,traffic exposure
2008-12-31,0.0,39.0,30.0,0.0,27.0,47.0,27.0,0.0,0.0,74.0,9.0,19.0,0.0,0.0,0.0,71.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-30,0.0,19.0,35.0,0.0,31.0,55.0,24.0,0.0,0.0,69.0,5.0,10.0,3.0,22.0,0.0,22.0,0.0,0.0,0.0,0.0,44.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,33.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,22.0,0.0
2008-12-29,5.0,36.0,66.0,12.0,31.0,49.0,55.0,0.0,2.0,49.0,2.0,20.0,2.0,0.0,0.0,22.0,22.0,0.0,22.0,0.0,0.0,22.0,22.0,22.0,0.0,22.0,0.0,22.0,22.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,22.0,0.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,22.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-28,9.0,55.0,59.0,19.0,0.0,66.0,56.0,19.0,3.0,74.0,3.0,22.0,3.0,0.0,34.0,100.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,34.0,33.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-27,8.0,45.0,78.0,19.0,19.0,28.0,28.0,0.0,3.0,86.0,0.0,20.0,3.0,0.0,0.0,33.0,0.0,0.0,33.0,0.0,33.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,33.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,33.0,0.0,0.0,0.0,0.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-26,8.0,35.0,78.0,17.0,0.0,44.0,35.0,17.0,3.0,65.0,0.0,9.0,0.0,0.0,0.0,63.0,0.0,0.0,31.0,0.0,31.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,31.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-25,10.0,63.0,53.0,23.0,23.0,71.0,24.0,0.0,4.0,54.0,0.0,17.0,4.0,0.0,0.0,42.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,42.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-24,0.0,14.0,61.0,0.0,0.0,56.0,16.0,0.0,0.0,61.0,0.0,37.0,3.0,28.0,0.0,57.0,0.0,0.0,0.0,0.0,58.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,28.0,29.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,28.0,0.0
2008-12-23,11.0,43.0,60.0,26.0,13.0,57.0,13.0,0.0,5.0,57.0,3.0,31.0,2.0,46.0,0.0,22.0,23.0,0.0,46.0,0.0,23.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,46.0,23.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,46.0,23.0,0.0,0.0,46.0,46.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,46.0,0.0,23.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,46.0,0.0
2008-12-22,5.0,32.0,46.0,12.0,24.0,60.0,12.0,0.0,2.0,71.0,2.0,14.0,0.0,0.0,0.0,22.0,22.0,0.0,21.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,22.0,22.0,21.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,21.0,22.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
