Date.Local,atl.ozone.Mean,atl.ozone.Max.Value,atl.ozone.Max.Hour,atl.ozone.AQI,atl.nitrogen.Mean,atl.nitrogen.Max.Value,atl.nitrogen.Max.Hour,atl.nitrogen.AQI,atl.pm.Max.Value,atl.pm.Max.Hour,atl.pm.Mean,atl.pm.AQI,atl.temp.Mean,atl.temp.Max.Value,atl.temp.Max.Hour,atl.rh.Mean,atl.rh.Max.Value,atl.rh.Max.Hour
2/28/07,0.0405,0.041,22,38,28.108333,62,21,60,NA,NA,NA,NA,52.541667,72,15,59.75,100,4
3/1/07,0.028353,0.033,7,31,6.583333,13,6,12,NA,NA,NA,NA,57,65,21,88.375,100,8
3/2/07,0.021235,0.037,10,34,17,45,22,42,NA,NA,NA,NA,51.583333,62,15,49.375,90,0
3/3/07,0.038471,0.044,10,41,14.458333,34,6,32,NA,NA,NA,NA,52.041667,61,14,38.041667,78,7
3/4/07,0.029765,0.035,11,32,7.583333,13,23,12,NA,NA,NA,NA,40.541667,49,15,49.458333,64,7
3/5/07,0.016824,0.032,10,30,22.666667,47,21,44,NA,NA,NA,NA,45,61,15,46.916667,73,3
3/6/07,0.018588,0.04,10,37,33.458333,51,1,48,NA,NA,NA,NA,50.958333,67,13,53.958333,82,23
3/7/07,0.026824,0.056,11,54,33.52381,67,21,65,NA,NA,NA,NA,52.5,71,13,61.375,100,4
3/8/07,0.037235,0.067,11,90,38.208333,69,20,67,NA,NA,NA,NA,54.875,73,15,60.166667,100,6
3/9/07,0.030353,0.042,11,39,16.541667,49,0,46,NA,NA,NA,NA,50.166667,58,15,84.125,99,21
3/10/07,0.030765,0.058,11,61,12.791667,40,21,38,NA,NA,NA,NA,56.041667,69,15,81.75,100,6
3/11/07,0.032353,0.058,11,61,20.875,46,23,43,NA,NA,NA,NA,58.875,75,14,71.875,100,0
3/12/07,0.020235,0.04,10,37,33,66,19,64,NA,NA,NA,NA,57.416667,75,15,65.916667,100,5
3/13/07,0.027294,0.052,11,48,30.625,62,9,60,NA,NA,NA,NA,61.521739,78,12,70.869565,100,3
3/14/07,0.042294,0.059,11,64,42.875,50,2,47,NA,NA,NA,NA,65.916667,78,14,65.25,93,7
3/15/07,0.030941,0.046,10,43,NA,NA,NA,NA,NA,NA,NA,NA,63.791667,73,14,82.791667,100,19
3/16/07,0.018294,0.022,22,20,NA,NA,NA,NA,NA,NA,NA,NA,53.291667,61,0,88.541667,100,0
3/17/07,0.024118,0.037,11,34,NA,NA,NA,NA,NA,NA,NA,NA,43.541667,53,14,52.083333,78,7
3/18/07,0.019882,0.04,10,37,NA,NA,NA,NA,NA,NA,NA,NA,44.416667,60,15,58.708333,95,6
3/19/07,0.036529,0.058,12,61,14.555556,53,23,50,NA,NA,NA,NA,54.875,71,15,61.583333,94,6
3/20/07,0.032059,0.062,11,74,28.625,59,21,56,NA,NA,NA,NA,61.166667,76,14,65.125,100,6
3/21/07,0.048647,0.064,12,80,14.791667,44,0,42,NA,NA,NA,NA,62.875,76,13,68.5,100,2
3/22/07,0.026941,0.051,11,47,15.25,44,21,42,NA,NA,NA,NA,62.208333,74,16,77.208333,100,4
3/23/07,0.028647,0.054,11,50,17.166667,44,21,42,NA,NA,NA,NA,63.208333,79,15,71.541667,100,0
3/24/07,0.035353,0.071,11,101,21.416667,57,20,54,NA,NA,NA,NA,66.25,82,14,71.25,100,1
3/25/07,0.037412,0.069,11,97,18.541667,44,21,42,NA,NA,NA,NA,69.041667,87,15,67.083333,100,2
3/26/07,0.048118,0.061,11,71,10,32,0,30,NA,NA,NA,NA,69.166667,80,14,73.958333,95,2
3/27/07,0.028867,0.055,9,51,9.833333,35,22,33,NA,NA,NA,NA,68.083333,79,15,79.333333,100,5
3/28/07,0.025294,0.05,11,46,20.375,45,21,42,NA,NA,NA,NA,66.833333,81,15,76.25,100,0
3/29/07,0.038471,0.051,10,47,13.181818,32,0,30,NA,NA,NA,NA,64.041667,79,13,81.25,100,1
3/30/07,0.008353,0.02,7,19,13.333333,31,19,29,NA,NA,NA,NA,54.708333,61,17,88.708333,100,13
3/31/07,0.033235,0.039,11,36,6.75,18,1,17,NA,NA,NA,NA,63.916667,76,15,84.25,100,0
4/1/07,0.024529,0.035,9,32,2.5,5,23,5,NA,NA,NA,NA,65.083333,70,14,90.5,100,17
4/2/07,0.014588,0.026,11,24,10.166667,18,8,17,NA,NA,NA,NA,65.416667,74,16,93.083333,100,0
4/3/07,0.021529,0.032,11,30,11.625,25,8,24,NA,NA,NA,NA,69.375,78,14,88.708333,100,0
4/4/07,0.034529,0.041,11,38,10.190476,30,6,28,NA,NA,NA,NA,62.666667,73,13,75.333333,100,2
4/5/07,0.029529,0.034,11,31,8.833333,15,6,14,NA,NA,NA,NA,47.958333,57,14,53.791667,75,6
4/6/07,0.038529,0.044,14,41,7.333333,12,7,11,NA,NA,NA,NA,46.083333,57,15,51.375,67,2
4/7/07,0.030706,0.044,12,41,5.583333,26,23,25,NA,NA,NA,NA,37,46,14,46.791667,69,23
4/8/07,0.027294,0.047,10,44,16.958333,36,21,34,NA,NA,NA,NA,39.333333,54,16,54.958333,88,23
4/9/07,0.025235,0.042,11,39,19.041667,36,5,34,NA,NA,NA,NA,42.291667,54,16,73,97,23
4/10/07,0.052588,0.061,12,71,14.541667,38,8,36,NA,NA,NA,NA,51.708333,66,14,65.833333,100,1
4/11/07,0.012412,0.032,7,30,8.083333,18,19,17,NA,NA,NA,NA,53.583333,57,17,95.75,100,12
4/12/07,0.028824,0.043,10,40,11.666667,22,23,21,NA,NA,NA,NA,58.625,73,14,48.684211,100,0
4/13/07,0.024059,0.047,10,44,27.458333,50,20,47,NA,NA,NA,NA,57.208333,74,15,57.791667,90,6
4/14/07,0.031412,0.047,9,44,11.291667,38,0,36,NA,NA,NA,NA,60.958333,73,15,85.083333,100,18
4/15/07,0.027647,0.032,14,30,5.541667,16,22,15,NA,NA,NA,NA,47.875,63,0,89.958333,100,0
4/16/07,0.047059,0.053,11,49,9.166667,16,21,15,NA,NA,NA,NA,55.041667,69,15,52.791667,84,0
4/17/07,0.026118,0.051,10,47,19.318182,53,20,50,NA,NA,NA,NA,56.583333,75,14,39.416667,83,23
4/18/07,0.029529,0.057,11,58,21.666667,46,20,43,NA,NA,NA,NA,57.666667,72,15,62.583333,96,3
4/19/07,0.040235,0.061,10,71,18.041667,38,8,36,NA,NA,NA,NA,59.125,76,13,62.666667,100,2
4/20/07,0.032235,0.054,11,50,16.619048,38,0,36,NA,NA,NA,NA,55.5,69,15,74.875,100,5
4/21/07,0.033412,0.059,11,64,14,36,22,34,NA,NA,NA,NA,58.708333,75,15,69.5,100,0
4/22/07,0.041294,0.069,11,97,13.916667,40,22,38,NA,NA,NA,NA,59.958333,77,14,65.958333,100,0
4/23/07,0.032529,0.056,11,54,14.833333,36,0,34,NA,NA,NA,NA,62.416667,78,13,70.791667,100,2
4/24/07,0.035294,0.053,11,49,13.583333,35,23,33,NA,NA,NA,NA,67.791667,82,14,70.291667,100,2
4/25/07,0.034765,0.054,11,50,16.833333,36,0,34,NA,NA,NA,NA,67.208333,80,13,72.333333,100,3
4/26/07,0.023588,0.03,10,28,7.863636,25,0,24,NA,NA,NA,NA,66.5,76,12,90.833333,100,8
4/27/07,0.040765,0.052,11,48,8.958333,20,5,19,NA,NA,NA,NA,66.916667,76,14,72.125,100,2
4/28/07,0.030882,0.052,10,48,12.208333,39,22,37,NA,NA,NA,NA,63.75,78,14,63.958333,96,5
4/29/07,0.032588,0.059,10,64,15.583333,43,21,41,NA,NA,NA,NA,64.791667,81,15,66.708333,100,1
4/30/07,0.032471,0.059,12,64,22.5,65,21,63,NA,NA,NA,NA,66.916667,84,14,64.916667,100,2
5/1/07,0.037471,0.075,10,115,26.166667,49,21,46,NA,NA,NA,NA,69.75,87,14,64.833333,100,1
5/2/07,0.030059,0.063,10,77,25.375,52,20,49,NA,NA,NA,NA,70.166667,86,13,66.458333,100,3
5/3/07,0.0435,0.063,11,77,18.571429,40,22,38,NA,NA,NA,NA,70.5,85,14,71,100,3
5/4/07,0.029706,0.039,11,36,4.478261,8,0,8,NA,NA,NA,NA,66,72,14,85.652174,93,7
5/5/07,0.014353,0.017,14,16,4.708333,7,19,7,NA,NA,NA,NA,61.75,67,14,92.833333,98,7
5/6/07,0.041941,0.05,21,46,3.625,7,4,7,NA,NA,NA,NA,68.083333,77,13,77.333333,100,3
5/7/07,0.036,0.055,11,51,7.541667,36,23,34,NA,NA,NA,NA,61.208333,73,15,42.5,85,23
5/8/07,0.031941,0.049,10,45,13.047619,30,1,28,NA,NA,NA,NA,64.583333,81,15,57.916667,91,0
5/9/07,0.032941,0.054,10,50,10.625,37,23,35,NA,NA,NA,NA,71.583333,84,13,64,89,23
5/10/07,0.035882,0.062,11,74,14.75,36,23,34,NA,NA,NA,NA,71.958333,85,14,72.041667,100,3
5/11/07,0.038941,0.066,10,87,15.416667,37,0,35,NA,NA,NA,NA,74.375,87,14,73.208333,100,21
5/12/07,0.028765,0.059,10,64,13.291667,24,21,23,NA,NA,NA,NA,70.958333,87,15,88.043478,100,0
5/13/07,0.053588,0.069,10,97,8.208333,21,20,20,NA,NA,NA,NA,73.833333,86,13,72.25,100,0
5/14/07,0.037765,0.056,11,54,4.791667,13,21,12,NA,NA,NA,NA,69.333333,78,15,65.333333,84,5
5/15/07,0.039118,0.066,11,87,11.791667,36,22,34,NA,NA,NA,NA,67.166667,82,14,73.833333,100,3
5/16/07,0.023176,0.039,7,36,17.315789,32,0,30,NA,NA,NA,NA,67.208333,76,13,86.125,100,17
5/17/07,0.036059,0.052,11,48,15.791667,46,21,43,NA,NA,NA,NA,63,77,15,67.833333,100,0
5/18/07,0.037706,0.055,11,51,11.75,28,5,26,NA,NA,NA,NA,62.541667,76,15,55.041667,86,5
5/19/07,0.037706,0.068,11,93,16.333333,46,21,43,NA,NA,NA,NA,59.75,76,15,62.333333,100,5
5/20/07,0.035471,0.068,11,93,19.833333,54,20,51,NA,NA,NA,NA,63.875,82,14,60.625,100,1
5/21/07,0.048,0.09,12,161,24.166667,67,21,65,NA,NA,NA,NA,67.458333,85,13,59.75,100,3
5/22/07,0.046529,0.072,10,105,16.625,51,0,48,NA,NA,NA,NA,68.708333,85,13,65.708333,100,3
5/23/07,0.053176,0.063,11,77,11.25,44,1,42,NA,NA,NA,NA,70.916667,83,13,68.708333,100,5
5/24/07,0.032176,0.053,11,49,7.125,35,22,33,NA,NA,NA,NA,70.041667,81,15,66.166667,94,5
