Date.Local,dal.ozone.Mean,dal.ozone.Max.Value,dal.ozone.Max.Hour,dal.ozone.AQI,dal.nitrogen.Mean,dal.nitrogen.Max.Value,dal.nitrogen.Max.Hour,dal.nitrogen.AQI,dal.pm.Max.Value,dal.pm.Max.Hour,dal.pm.Mean,dal.pm.AQI,dal.temp.Mean,dal.temp.Max.Value,dal.temp.Max.Hour,dal.rh.Mean,dal.rh.Max.Value,dal.rh.Max.Hour
1/1/07,0.017882,0.03,9,28,12.625,37,22,35,5.8,0,5.8,24,41.875,51,15,56.416667,73,7
1/2/07,0.010353,0.022,11,20,27.916667,53,23,50,7.9,0,7.9,33,44.458333,53,16,49.583333,66,7
1/3/07,0.005941,0.013,10,12,34.833333,56,7,53,17.6,0,17.6,63,45.916667,53,12,68.291667,90,23
1/4/07,0.008118,0.012,9,11,20.875,29,2,27,8.2,0,8.2,34,49.333333,53,12,87.583333,94,2
1/5/07,0.005765,0.012,9,11,19.708333,35,18,33,11.6,0,11.6,48,53.5,62,16,83.041667,93,4
1/6/07,0.013059,0.021,10,19,12.125,29,21,27,7.8,0,7.8,33,48.458333,52,16,72.375,84,0
1/6/07,0.013059,0.021,10,19,12.125,29,21,27,8.3,0,8.3,35,48.458333,52,16,72.375,84,0
1/7/07,0.020765,0.031,12,29,11.954545,26,0,25,2.4,0,2.4,10,49,57,14,51.583333,78,0
1/8/07,0.009412,0.023,9,21,30.083333,51,21,48,6.7,0,6.7,28,47.916667,61,15,45.958333,78,7
1/9/07,0.011706,0.026,10,24,30.416667,53,23,50,7.4,0,7.4,31,50.166667,60,15,42,74,6
1/10/07,0.029588,0.037,13,34,23.625,49,0,46,7.1,0,7.1,30,53.083333,64,15,45.208333,72,23
1/11/07,0.025471,0.027,19,25,12.041667,26,6,25,5.5,0,5.5,23,60.583333,67,16,75.5,85,5
1/12/07,0.006353,0.008,9,7,13.708333,29,8,27,6.5,0,6.5,27,58.708333,68,14,85.416667,92,18
1/12/07,0.006353,0.008,9,7,13.708333,29,8,27,6.9,0,6.9,29,58.708333,68,14,85.416667,92,18
1/13/07,0.007118,0.008,14,7,9.416667,13,18,12,4.4,0,4.4,18,34.125,37,0,90.541667,92,0
1/14/07,0.011294,0.02,23,19,7.272727,12,0,11,7.4,0,7.4,31,32.833333,34,0,89.208333,93,9
1/15/07,0.027176,0.029,16,27,8.791667,19,12,18,5.4,0,5.4,23,28.75,31,0,70.583333,84,1
1/16/07,0.020882,0.023,20,21,12.958333,20,18,19,6.3,0,6.3,26,28.583333,31,16,58.708333,67,20
1/17/07,0.008882,0.011,10,10,22.333333,41,19,39,12.3,0,12.3,51,29.458333,32,18,75.75,84,6
1/18/07,0.003765,0.008,21,7,21.958333,29,18,27,16.8,0,16.8,61,35.583333,40,19,82.25,84,5
1/18/07,0.003765,0.008,21,7,21.958333,29,18,27,16.6,0,16.6,60,35.583333,40,19,82.25,84,5
1/19/07,0.010882,0.018,23,17,19.5,30,17,28,14.4,0,14.4,56,38.625,40,10,78.333333,88,22
1/20/07,0.005824,0.019,7,18,17.791667,30,19,28,6.7,0,6.7,28,37.833333,39,11,89.416667,93,17
1/21/07,0.023824,0.03,11,28,12.681818,20,18,19,4.3,0,4.3,18,45.083333,57,14,71.625,94,4
1/22/07,0.018176,0.031,9,29,14.666667,29,23,27,9.6,0,9.6,40,39.291667,45,16,62.875,76,0
1/23/07,0.004529,0.011,10,10,30.695652,42,19,40,18,0,18,63,38.666667,44,18,67.291667,82,5
1/24/07,0.005647,0.014,9,13,33.272727,42,1,40,13.6,0,13.6,54,44.375,50,15,63.958333,79,23
1/24/07,0.005647,0.014,9,13,33.272727,42,1,40,15,0,15,57,44.375,50,15,63.958333,79,23
1/25/07,0.008824,0.02,10,19,35.541667,59,23,56,15.1,0,15.1,57,45.916667,58,16,63.958333,89,5
1/26/07,0.027706,0.032,12,30,29.541667,59,9,56,11.3,0,11.3,47,51.125,62,15,57.625,90,5
1/27/07,0.025882,0.028,11,26,12.833333,33,7,31,6,0,6,25,50.541667,61,13,61.458333,88,7
1/28/07,0.015941,0.031,10,29,12.2,38,21,36,3.7,0,3.7,15,36.833333,42,15,43.541667,56,4
1/29/07,0.007,0.016,10,15,30.5,39,19,37,9,0,9,38,41.458333,48,14,48.916667,60,6
1/30/07,0.023176,0.027,10,25,17.166667,34,0,32,6,0,6,25,43.375,47,14,41.041667,56,5
1/30/07,0.023176,0.027,10,25,17.166667,34,0,32,5.9,0,5.9,25,43.375,47,14,41.041667,56,5
1/31/07,0.007824,0.009,8,8,19.666667,28,11,26,8.8,0,8.8,37,36,41,17,60.583333,83,23
2/1/07,0.005353,0.011,22,10,15.833333,21,7,20,18.3,0,18.3,64,37.083333,39,0,88.583333,92,17
2/2/07,0.008412,0.019,10,18,17.166667,34,22,32,15.4,0,15.4,58,33.208333,35,0,74.625,85,3
2/3/07,0.020412,0.03,10,28,20.25,33,0,31,13.8,0,13.8,55,39.541667,53,16,60.833333,90,6
2/4/07,0.017235,0.029,11,27,24.227273,41,22,39,15.6,0,15.6,58,45.875,57,16,57.75,83,6
2/5/07,0.015765,0.019,21,18,32.958333,52,19,49,9.4,0,9.4,39,50.625,64,16,56.583333,74,5
2/5/07,0.015765,0.019,21,18,32.958333,52,19,49,13.8,0,13.8,55,50.625,64,16,56.583333,74,5
2/6/07,0.030647,0.042,11,39,22.708333,48,7,45,10.3,0,10.3,43,58.833333,69,15,54.625,74,2
2/7/07,0.018235,0.029,10,27,22,32,5,30,NA,NA,NA,NA,59.791667,71,15,70.208333,88,7
2/8/07,0.003353,0.007,7,6,14.125,28,0,26,23.2,0,23.2,74,43.083333,58,0,79.083333,92,23
2/9/07,0.009353,0.012,21,11,14.25,18,17,17,NA,NA,NA,NA,40.541667,43,21,77.041667,92,0
2/10/07,0.019176,0.021,11,19,11.666667,16,22,15,20.7,0,20.7,69,42,45,15,56.666667,63,22
2/11/07,0.019059,0.023,9,21,10.272727,18,18,17,16,0,16,59,45.958333,50,18,64.583333,76,23
2/11/07,0.019059,0.023,9,21,10.272727,18,18,17,15.9,0,15.9,59,45.958333,50,18,64.583333,76,23
2/12/07,0.004412,0.006,15,6,18.791667,28,18,26,17.3,0,17.3,62,53.583333,62,17,88.666667,94,21
