Date.Local,lax.ozone.Mean,lax.ozone.Max.Value,lax.ozone.Max.Hour,lax.ozone.AQI,lax.nitrogen.Mean,lax.nitrogen.Max.Value,lax.nitrogen.Max.Hour,lax.nitrogen.AQI,lax.pm.Max.Value,lax.pm.Max.Hour,lax.pm.Mean,lax.pm.AQI,lax.temp.Mean,lax.temp.Max.Value,lax.temp.Max.Hour,lax.rh.Mean,lax.rh.Max.Value,lax.rh.Max.Hour
1/1/07,0.009706,0.025,9,23,30.391304,52,20,49,NA,NA,NA,NA,55.125,68,14,62.791667,84,7
1/2/07,0.002588,0.007,9,6,46.652174,64,12,62,NA,NA,NA,NA,58.833333,76,12,44.166667,62,6
1/3/07,0.003647,0.008,8,7,42.695652,54,8,51,16.6,0,16.6,60,59.583333,74,12,50.5,86,23
1/4/07,0.017059,0.028,23,26,25.043478,33,19,31,18.9,0,18.9,65,55.916667,64,13,74.375,88,3
1/5/07,0.014,0.034,9,31,19.304348,47,18,44,3.9,0,3.9,16,54.666667,64,15,25.75,51,3
1/6/07,0.005471,0.015,9,14,36.217391,42,0,40,12.8,0,12.8,52,52.791667,70,12,36.208333,61,20
1/7/07,0.007882,0.019,9,18,35.913043,49,18,46,NA,NA,NA,NA,59.416667,79,15,37.041667,51,4
1/8/07,0.002882,0.007,9,6,45.047619,72,9,70,NA,NA,NA,NA,66.25,90,15,30.208333,54,5
1/9/07,0.004882,0.012,9,11,40,50,8,47,10.4,0,10.4,43,66,87,12,30.5,50,23
1/10/07,0.005765,0.007,15,6,41.565217,57,15,54,19.1,0,19.1,66,59.25,73,12,50.166667,81,20
1/11/07,0.015,0.019,12,18,25.913043,38,10,36,NA,NA,NA,NA,53.333333,59,12,70.208333,78,4
1/12/07,0.016882,0.03,10,28,19.217391,37,23,35,4.7,0,4.7,20,48.333333,54,13,30.25,60,0
1/13/07,0.011176,0.026,10,24,27.826087,41,19,39,NA,NA,NA,NA,44.291667,56,12,27.791667,46,5
1/14/07,0.011471,0.027,9,25,29.043478,44,19,42,NA,NA,NA,NA,43.5,58,15,29.791667,45,23
1/15/07,0.006765,0.015,9,14,38.565217,45,7,42,NA,NA,NA,NA,46.083333,60,13,41.583333,57,23
1/16/07,0.006353,0.015,9,14,41.73913,71,8,69,NA,NA,NA,NA,48.041667,64,12,43.541667,61,3
1/17/07,0.005941,0.014,9,13,35.521739,50,10,47,NA,NA,NA,NA,47.875,56,13,49.25,63,23
1/18/07,0.006824,0.016,9,15,40.478261,54,8,51,16.1,0,16.1,59,52.083333,69,13,40.958333,70,2
1/19/07,0.006647,0.014,9,13,39.73913,62,9,60,NA,NA,NA,NA,56.208333,69,14,42.666667,70,21
1/20/07,0.015,0.03,10,28,23.869565,39,0,37,NA,NA,NA,NA,52.75,61,14,58.666667,77,23
1/21/07,0.014176,0.032,10,30,25.608696,49,19,46,NA,NA,NA,NA,53.625,65,13,54.416667,81,3
1/22/07,0.006353,0.016,9,15,37.304348,52,8,49,NA,NA,NA,NA,54.125,68,12,38.208333,56,7
1/23/07,0.004824,0.011,9,10,40.304348,53,8,50,NA,NA,NA,NA,54.916667,70,11,36.541667,60,20
1/24/07,0.002235,0.006,8,6,50.869565,66,15,64,26.6,0,26.6,81,58.625,78,11,45.375,66,19
1/25/07,0.005647,0.014,9,13,42.086957,52,20,49,14.2,0,14.2,55,61.5,80,12,34.375,50,0
1/26/07,0.010235,0.014,14,13,39.695652,71,12,69,23.8,0,23.8,76,56.666667,68,12,56.208333,80,20
1/27/07,0.014941,0.028,9,26,25.095238,36,20,34,12.6,0,12.6,52,54.5,60,10,75.791667,87,20
1/28/07,0.013824,0.032,9,30,23.478261,43,19,41,NA,NA,NA,NA,55.666667,66,14,67,80,0
1/29/07,0.004882,0.011,9,10,36.478261,44,17,42,NA,NA,NA,NA,55,65,11,71.833333,84,21
1/30/07,0.005353,0.009,9,8,34.391304,45,18,42,19.2,0,19.2,66,54.416667,58,9,78,83,0
1/30/07,0.005353,0.009,9,8,34.391304,45,18,42,19.4,0,19.4,66,54.416667,58,9,78,83,0
1/31/07,0.015588,0.024,16,22,30,42,7,40,14.5,0,14.5,56,54.375,62,13,73.291667,84,3
2/1/07,0.008353,0.018,10,17,35.695652,45,8,42,NA,NA,NA,NA,54.791667,61,9,69.875,81,7
2/2/07,0.009,0.02,10,19,37.782609,50,19,47,NA,NA,NA,NA,54.291667,68,13,68.375,83,3
2/3/07,0.011882,0.025,10,23,37,49,20,46,NA,NA,NA,NA,56.708333,74,12,57.875,77,0
2/4/07,0.012882,0.031,9,29,35.913043,56,19,53,11.3,0,11.3,47,66.416667,89,14,30.75,56,0
2/5/07,0.004412,0.011,9,10,46.913043,65,22,63,12.7,0,12.7,52,68.291667,88,12,34.708333,51,23
2/5/07,0.004412,0.011,9,10,46.913043,65,22,63,12.9,0,12.9,53,68.291667,88,12,34.708333,51,23
2/6/07,0.004235,0.01,9,9,57.347826,95,11,95,29.7,0,29.7,88,62.75,78,13,55.5,83,22
2/7/07,0.004294,0.008,9,7,52.608696,81,11,80,45.3,0,45.3,125,56.166667,67,11,77.833333,91,6
2/8/07,0.004235,0.009,9,8,51.217391,68,17,66,44.9,0,44.9,124,56.25,71,14,66.416667,88,3
2/9/07,0.003588,0.008,9,7,56.086957,86,11,85,43.1,0,43.1,120,58.208333,71,13,63.208333,80,1
2/10/07,0.012765,0.021,12,19,35.782609,81,11,80,25.1,0,25.1,78,58.791667,71,12,70.458333,87,18
2/11/07,0.018588,0.031,11,29,15.391304,38,21,36,5.8,0,5.8,24,58.5,65,11,80.375,91,6
2/11/07,0.018588,0.031,11,29,15.391304,38,21,36,5.5,0,5.5,23,58.5,65,11,80.375,91,6
2/12/07,0.018412,0.026,12,24,23.695652,41,8,39,7.2,0,7.2,30,57.583333,65,14,72.5,85,4
2/13/07,0.0097,0.022,14,20,25.157895,40,22,38,5.2,0,5.2,22,56.333333,64,12,59.333333,82,5
2/14/07,0.008176,0.018,10,17,36.26087,55,18,52,9.8,0,9.8,41,57.958333,73,13,52.125,74,6
2/15/07,0.006824,0.018,9,17,37.619048,47,19,44,14.8,0,14.8,57,57.541667,74,12,60.708333,82,23
2/16/07,0.005118,0.014,9,13,47.666667,67,14,65,NA,NA,NA,NA,66.208333,87,13,52.583333,83,0
