Date.Local,nyc.ozone.Mean,nyc.ozone.Max.Value,nyc.ozone.Max.Hour,nyc.ozone.AQI,nyc.nitrogen.Mean,nyc.nitrogen.Max.Value,nyc.nitrogen.Max.Hour,nyc.nitrogen.AQI,nyc.pm.Max.Value,nyc.pm.Max.Hour,nyc.pm.Mean,nyc.pm.AQI,nyc.temp.Mean,nyc.temp.Max.Value,nyc.temp.Max.Hour,nyc.rh.Mean,nyc.rh.Max.Value,nyc.rh.Max.Hour
1/2/07,0.01,0.01,9,9,26.769231,41,20,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/3/07,0.002471,0.005,7,5,39.291667,65,9,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/4/07,0.002176,0.004,7,4,38.761905,47,18,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/5/07,0.001,0.001,7,1,34.958333,44,0,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/6/07,0.015824,0.019,22,18,19.791667,27,8,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/7/07,0.017412,0.024,7,22,16.541667,31,16,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/8/07,0.011118,0.015,20,14,23.318182,44,9,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/9/07,0.009294,0.017,23,16,27.916667,39,8,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/10/07,0.015176,0.021,8,19,19.041667,31,7,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/11/07,0.004118,0.007,7,6,31.333333,40,13,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/12/07,0.002059,0.003,7,3,36.166667,42,21,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/13/07,0.002588,0.005,23,5,30.041667,38,0,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/14/07,0.001882,0.005,7,5,15.291667,20,14,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/15/07,0.001824,0.005,7,5,24.875,48,19,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/16/07,0.020706,0.025,21,23,18.291667,33,0,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/17/07,0.012353,0.022,7,20,18.458333,34,22,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/18/07,0.001765,0.004,7,4,37.25,45,16,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/19/07,0.015118,0.02,21,19,24.9,46,0,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/20/07,0.022294,0.025,12,23,14.583333,19,7,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/21/07,0.008588,0.022,7,20,24.708333,43,21,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/22/07,0.003294,0.009,23,8,37.5,45,8,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/23/07,0.009176,0.022,8,20,26.583333,40,20,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/24/07,0.009941,0.016,9,15,28.708333,36,17,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/25/07,0.021647,0.026,20,24,20.727273,35,8,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/26/07,0.017176,0.024,9,22,18.791667,30,7,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/27/07,0.001882,0.003,7,3,38.916667,44,12,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/28/07,0.015824,0.018,8,17,24.166667,37,0,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/29/07,0.014765,0.024,9,22,20.083333,32,19,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/30/07,0.003917,0.006,23,6,31.125,40,19,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/31/07,0.010588,0.021,8,19,24.380952,34,17,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
