Date.Local,phi.ozone.Mean,phi.ozone.Max.Value,phi.ozone.Max.Hour,phi.ozone.AQI,phi.nitrogen.Mean,phi.nitrogen.Max.Value,phi.nitrogen.Max.Hour,phi.nitrogen.AQI,phi.pm.Max.Value,phi.pm.Max.Hour,phi.pm.Mean,phi.pm.AQI
1/1/07,0.004824,0.008,20,7,21,34,10,32,9.2,0,9.2,38
1/2/07,0.009529,0.022,9,20,17.166667,36,20,34,3.5,0,3.5,15
1/3/07,0.004176,0.009,9,8,30.875,50,7,47,14.2,0,14.2,55
1/4/07,0.002353,0.004,8,4,33.75,45,19,42,21.5,0,21.5,71
1/5/07,0.002941,0.008,23,7,25.375,30,0,28,13.3,0,13.3,54
1/6/07,0.018824,0.021,12,19,11.416667,16,9,15,6.6,0,6.6,28
1/7/07,0.017176,0.023,9,21,10.208333,19,21,18,4.6,0,4.6,19
1/8/07,0.014706,0.018,15,17,19.875,32,6,30,4.7,0,4.7,20
1/9/07,0.011176,0.016,22,15,22.727273,34,8,32,6.2,0,6.2,26
1/10/07,0.013412,0.02,8,19,17.833333,28,19,26,5.2,0,5.2,22
1/11/07,0.006118,0.01,8,9,29,40,7,38,11.9,0,11.9,50
1/12/07,0.002059,0.003,7,3,33.041667,38,16,36,15.9,0,15.9,59
1/13/07,0.001471,0.003,7,3,30.208333,37,18,35,19.8,0,19.8,67
1/14/07,0.001176,0.002,7,2,20.25,26,1,25,21.4,0,21.4,71
1/15/07,0.004118,0.008,21,7,23.666667,39,16,37,20.2,0,20.2,68
1/16/07,0.019294,0.022,17,20,13.583333,29,0,27,4.8,0,4.8,20
1/17/07,0.010235,0.022,8,20,19.083333,38,21,36,5,0,5,21
1/18/07,0.002294,0.003,7,3,37.916667,40,5,38,21,0,21,70
1/19/07,0.016235,0.019,22,18,24.25,40,0,38,19.6,0,19.6,67
1/20/07,0.023412,0.024,14,22,11.041667,16,0,15,5.2,0,5.2,22
1/21/07,0.013059,0.022,7,20,18.958333,36,17,34,8.2,0,8.2,34
1/22/07,0.001765,0.003,7,3,28.333333,35,11,33,25.7,0,25.7,80
1/23/07,0.007235,0.014,9,13,24.954545,40,19,38,22.9,0,22.9,74
1/24/07,0.006,0.012,7,11,29.541667,38,6,36,22.3,0,22.3,72
1/25/07,0.021706,0.025,20,23,21.166667,36,7,34,15.9,0,15.9,59
1/26/07,0.016706,0.024,8,22,17.458333,33,19,31,6.8,0,6.8,28
1/27/07,0.003294,0.007,7,6,31.583333,42,23,40,19,0,19,66
1/28/07,0.012941,0.02,22,19,28.458333,42,0,40,30.1,0,30.1,89
1/29/07,0.014176,0.022,9,20,16.625,28,22,26,9.4,0,9.4,39
1/30/07,0.013235,0.016,22,15,28.166667,38,7,36,15.9,0,15.9,59
1/31/07,0.008941,0.018,8,17,20.833333,35,20,33,15.8,0,15.8,59
2/1/07,0.005294,0.01,8,9,31.5,36,2,34,24.1,0,24.1,76
2/2/07,0.005118,0.015,23,14,32.833333,36,13,34,33.2,0,33.2,95
2/3/07,0.014235,0.023,7,21,20.916667,40,20,38,13.3,0,13.3,54
2/4/07,0.021882,0.024,8,22,15.625,28,0,26,8.6,0,8.6,36
2/5/07,0.019176,0.023,9,21,14.958333,22,18,21,7.8,0,7.8,33
2/6/07,0.014529,0.019,8,18,20,31,18,29,10.5,0,10.5,44
2/7/07,0.014765,0.021,9,19,23.090909,29,6,27,12.5,0,12.5,52
2/8/07,0.013882,0.023,9,21,26.666667,37,6,35,14.2,0,14.2,55
2/9/07,0.015176,0.022,9,20,25.347826,33,3,31,13.1,0,13.1,53
2/10/07,0.017529,0.024,10,22,20.666667,27,7,25,13.6,0,13.6,54
2/11/07,0.010882,0.023,9,21,27.958333,46,22,43,20.2,0,20.2,68
2/12/07,0.007941,0.014,9,13,34.041667,45,5,42,17.5,0,17.5,62
2/13/07,0.010765,0.016,7,15,28.666667,44,17,42,15.8,0,15.8,59
2/14/07,0.022765,0.024,17,22,18.25,31,7,29,7,0,7,29
2/15/07,0.020882,0.026,7,24,16.666667,26,18,25,6,0,6,25
2/16/07,0.015824,0.024,9,22,25.75,39,7,37,12.8,0,12.8,52
2/17/07,0.012529,0.02,9,19,33.708333,46,18,43,13.1,0,13.1,53
2/18/07,0.029471,0.032,20,30,19.125,40,2,38,13.4,0,13.4,54
2/19/07,0.014882,0.029,8,27,22.083333,48,19,45,7.5,0,7.5,31
2/20/07,0.003529,0.008,7,7,44.954545,54,23,51,21.1,0,21.1,70
2/21/07,0.013059,0.028,9,26,38.791667,62,23,60,24.8,0,24.8,78
2/22/07,0.015353,0.025,22,23,46.916667,74,2,72,32.7,0,32.7,94
2/23/07,0.029824,0.031,11,29,11.875,21,19,20,3.6,0,3.6,15
2/24/07,0.022,0.03,7,28,16.875,40,22,38,4.3,0,4.3,18
2/25/07,0.008882,0.017,7,16,23.875,37,16,35,8,0,8,33
2/26/07,0.005143,0.006,13,6,34.583333,44,5,42,16,0,16,59
2/27/07,0.007765,0.013,9,12,34.541667,46,2,43,32.1,0,32.1,93
2/28/07,0.009412,0.017,9,16,28.458333,44,23,42,21,0,21,70
3/1/07,0.022176,0.028,23,26,33.583333,68,6,66,22.9,0,22.9,74
3/2/07,0.013235,0.027,10,25,28.458333,56,23,53,9.2,0,9.2,38
3/3/07,0.024412,0.027,12,25,36.5,73,8,71,17.1,0,17.1,62
3/4/07,0.025882,0.027,8,25,11.208333,18,20,17,6.8,0,6.8,28
3/5/07,0.029647,0.032,20,30,15.166667,29,7,27,9.8,0,9.8,41
3/6/07,0.026882,0.032,8,30,11.285714,22,20,21,4.2,0,4.2,18
3/7/07,0.007235,0.016,9,15,27.541667,47,20,44,NA,NA,NA,NA
3/8/07,0.027647,0.031,10,29,26.375,44,3,42,17.9,0,17.9,63
3/9/07,0.015824,0.022,8,20,24.291667,40,23,38,10.2,0,10.2,43
3/10/07,0.020059,0.027,12,25,31.791667,48,2,45,13.3,0,13.3,54
3/11/07,0.025471,0.036,10,33,17.333333,41,0,39,NA,NA,NA,NA
3/12/07,0.013059,0.021,9,19,33.458333,51,6,48,10,0,10,42
3/13/07,0.017059,0.024,13,22,40.333333,48,18,45,20.4,0,20.4,68
3/14/07,0.022412,0.037,11,34,46.041667,61,7,58,30.1,0,30.1,89
3/15/07,0.025824,0.031,16,29,30.75,62,8,60,23,0,23,74
3/16/07,0.017765,0.027,20,25,21.375,35,17,33,7.2,0,7.2,30
3/17/07,0.029941,0.033,12,31,13.041667,29,23,27,5.8,0,5.8,24
3/18/07,0.023471,0.036,9,33,16.75,36,21,34,4.4,0,4.4,18
3/19/07,0.021941,0.025,10,23,32.916667,55,6,52,10.2,0,10.2,43
3/20/07,0.031353,0.035,9,32,22.227273,48,5,45,NA,NA,NA,NA
3/21/07,0.024765,0.027,9,25,19.708333,35,17,33,6.5,0,6.5,27
3/22/07,0.023706,0.034,11,31,29.083333,47,21,44,15.6,0,15.6,58
3/23/07,0.008824,0.01,21,9,33.541667,46,9,43,22.4,0,22.4,73
3/24/07,0.017412,0.028,9,26,24.166667,41,21,39,8,0,8,33
3/25/07,0.029353,0.034,12,31,14.583333,32,0,30,8.2,0,8.2,34
3/26/07,0.013059,0.024,10,22,24.583333,40,20,38,NA,NA,NA,NA
3/27/07,0.021353,0.034,10,31,37.625,58,9,55,14.8,0,14.8,57
3/28/07,0.036176,0.039,18,36,14,35,6,33,5.2,0,5.2,22
3/29/07,0.032529,0.038,11,35,12.041667,22,6,21,3.4,0,3.4,14
3/30/07,0.018588,0.031,10,29,28.916667,55,20,52,6.9,0,6.9,29
3/31/07,0.032,0.034,20,31,17.666667,49,0,46,5.1,0,5.1,21
4/1/07,0.028412,0.036,12,33,11.333333,18,22,17,7.2,0,7.2,30
4/2/07,0.025941,0.033,14,31,28.166667,49,13,46,21.3,0,21.3,70
4/3/07,0.031588,0.038,20,35,17.818182,29,12,27,15.5,0,15.5,58
4/4/07,0.017118,0.021,7,19,17.625,30,21,28,4.7,0,4.7,20
4/5/07,0.022588,0.024,12,22,12.291667,16,5,15,6.5,0,6.5,27
4/6/07,0.021941,0.027,8,25,17.25,29,22,27,9.7,0,9.7,40
4/7/07,0.025353,0.03,9,28,15.5,30,1,28,NA,NA,NA,NA
4/8/07,0.019941,0.023,10,21,12.666667,21,20,20,NA,NA,NA,NA
4/9/07,0.022,0.029,11,27,17.791667,32,5,30,NA,NA,NA,NA
4/10/07,0.019235,0.034,9,31,24.5,50,21,47,NA,NA,NA,NA
4/11/07,0.037588,0.041,20,38,25.291667,52,5,49,14,0,14,55
4/12/07,0.021118,0.026,8,24,21.458333,41,20,39,10.2,0,10.2,43
4/13/07,0.029353,0.033,14,31,13.416667,21,6,20,8.6,0,8.6,36
4/14/07,0.035882,0.041,10,38,18.125,34,1,32,8.7,0,8.7,36
4/15/07,0.031118,0.035,20,32,13.375,26,16,25,6.5,0,6.5,27
4/16/07,0.030941,0.033,18,31,10.25,16,15,15,2.5,0,2.5,10
4/17/07,0.033529,0.036,15,33,11.772727,25,6,24,3.1,0,3.1,13
4/18/07,0.021588,0.028,8,26,16.166667,30,20,28,4.8,0,4.8,20
4/19/07,0.017824,0.027,11,25,22.875,48,20,45,5.8,0,5.8,24
4/20/07,0.025706,0.048,11,44,23.416667,44,19,42,7.3,0,7.3,30
4/21/07,0.025176,0.049,10,45,32.041667,58,21,55,9.3,0,9.3,39
4/22/07,0.038176,0.058,11,61,26.958333,54,0,51,12.4,0,12.4,52
4/23/07,0.043294,0.056,13,54,35.541667,71,5,69,19.7,0,19.7,67
