Date.Local,bos.ozone.Mean,bos.ozone.Max.Value,bos.ozone.Max.Hour,bos.ozone.AQI,bos.nitrogen.Mean,bos.nitrogen.Max.Value,bos.nitrogen.Max.Hour,bos.nitrogen.AQI,bos.pm.Max.Value,bos.pm.Max.Hour,bos.pm.Mean,bos.pm.AQI,bos.temp.Mean,bos.temp.Max.Value,bos.temp.Max.Hour,bos.rh.Mean,bos.rh.Max.Value,bos.rh.Max.Hour
1/1/07,0.004471,0.013,7,12,23.826087,40,17,38,NA,NA,NA,NA,39,46,17,85.291667,92,16
1/2/07,0.009882,0.015,9,14,21.791667,40,18,38,NA,NA,NA,NA,41.916667,46,11,58.541667,91,0
1/3/07,0.004143,0.013,10,12,22.458333,32,7,30,6.3,0,6.3,26,41.791667,52,13,51.583333,72,5
1/4/07,0.001294,0.003,8,3,29,35,17,33,NA,NA,NA,NA,47.625,55,14,54.916667,63,21
1/5/07,0.010176,0.015,7,14,21.333333,33,3,31,NA,NA,NA,NA,56.708333,62,12,75.75,90,23
1/6/07,0.016,0.023,22,21,9.541667,17,18,16,2.8,0,2.8,12,61.791667,70,12,76.208333,91,0
1/7/07,0.014,0.023,23,21,15.043478,36,17,34,NA,NA,NA,NA,47,53,13,48.708333,67,22
1/8/07,0.009353,0.019,20,18,21.583333,46,9,43,NA,NA,NA,NA,44.833333,50,14,78,91,9
1/9/07,0.007882,0.018,8,17,19.35,29,21,27,4.4,0,4.4,18,37.958333,44,12,50.041667,63,23
1/10/07,0.015118,0.017,18,16,23.086957,38,7,36,NA,NA,NA,NA,31.625,37,10,46,68,3
1/11/07,0.011294,0.018,22,17,22.375,33,7,31,NA,NA,NA,NA,28.375,34,13,48.125,69,23
1/12/07,0.004,0.013,7,12,19.75,32,17,30,10,0,10,42,42.958333,52,14,57.5,69,0
1/13/07,0.006765,0.022,23,20,21.869565,29,0,27,NA,NA,NA,NA,45.125,50,13,73.375,88,12
1/14/07,0.003118,0.012,7,11,15.166667,24,16,23,NA,NA,NA,NA,35.666667,39,0,86.583333,90,10
1/15/07,0.001588,0.006,7,6,22.583333,29,21,27,11.4,0,11.4,48,35.583333,41,12,89.25,92,12
1/16/07,0.016235,0.022,21,20,19.130435,29,0,27,NA,NA,NA,NA,29.958333,41,5,67.5,91,1
1/17/07,0.008529,0.016,8,15,16.916667,24,16,23,NA,NA,NA,NA,14.791667,21,14,43.625,52,6
1/18/07,0.005294,0.011,8,10,26.125,33,16,31,9.8,0,9.8,41,26.083333,35,14,61.708333,89,23
1/19/07,0.010294,0.02,22,19,23.956522,37,0,35,NA,NA,NA,NA,35.75,41,13,73.208333,91,6
1/20/07,0.018588,0.022,19,20,12.083333,18,17,17,NA,NA,NA,NA,26.375,32,0,46.583333,60,9
1/21/07,0.022706,0.028,8,26,13.416667,22,17,21,2.2,0,2.2,9,19.833333,26,12,35.916667,46,6
1/22/07,0.003,0.007,7,6,30.130435,42,15,40,NA,NA,NA,NA,23.75,28,13,54.708333,80,23
1/23/07,0.005118,0.013,8,12,29.590909,40,17,38,NA,NA,NA,NA,26.583333,32,18,66.875,81,0
1/24/07,0.011765,0.017,21,16,27.208333,39,6,37,10.5,0,10.5,44,32.25,43,12,54.583333,69,6
1/25/07,0.018529,0.021,21,19,19.086957,33,7,31,NA,NA,NA,NA,22.5,30,11,43.791667,56,7
1/26/07,0.017,0.022,8,20,16.333333,25,7,24,NA,NA,NA,NA,7.416667,14,13,37.708333,45,0
1/27/07,0.004647,0.013,8,12,23.208333,32,19,30,12.7,0,12.7,52,16.708333,26,20,47.208333,54,11
1/28/07,0.012647,0.017,23,16,22.391304,31,0,29,NA,NA,NA,NA,31.875,43,14,66.791667,83,5
1/29/07,0.016647,0.021,8,19,18.875,31,18,29,NA,NA,NA,NA,24.5,30,14,45.041667,64,0
1/30/07,0.006471,0.018,8,17,24.25,38,18,36,11,0,11,46,24,32,14,46.75,60,4
1/31/07,0.009294,0.014,9,13,27.347826,36,6,34,NA,NA,NA,NA,26.869565,34,13,46.695652,71,1
2/1/07,0.006,0.015,8,14,24.708333,34,19,32,NA,NA,NA,NA,29.333333,37,15,49.458333,63,23
2/2/07,0.000588,0.006,23,6,30.5,35,16,33,31.5,0,31.5,92,34.583333,37,9,72.833333,89,23
2/3/07,0.018765,0.022,8,20,17.304348,30,0,28,NA,NA,NA,NA,28.666667,34,0,50.666667,89,0
2/4/07,0.020353,0.026,8,24,14.541667,24,22,23,NA,NA,NA,NA,21.208333,26,13,33.125,48,5
2/5/07,0.018235,0.021,8,19,15.125,24,7,23,5.7,0,5.7,24,13.875,19,13,34.75,48,22
2/6/07,0.013412,0.02,8,19,18.944444,29,6,27,NA,NA,NA,NA,19.75,28,13,40.541667,51,6
2/7/07,0.015647,0.019,9,18,21.083333,30,7,28,NA,NA,NA,NA,17.708333,25,13,40.041667,52,3
2/8/07,0.017529,0.02,8,19,18.25,28,18,26,6.1,0,6.1,25,20.583333,26,10,46.166667,52,5
2/9/07,0.016235,0.021,8,19,18.304348,29,17,27,NA,NA,NA,NA,22.666667,30,12,44.625,54,7
2/10/07,0.013588,0.02,10,19,20.333333,26,18,25,NA,NA,NA,NA,24.583333,35,14,46.166667,56,2
2/11/07,0.018,0.027,9,25,19.708333,28,5,26,10.1,0,10.1,42,26.208333,34,12,46.666667,62,6
2/12/07,0.018941,0.022,21,20,24,33,7,31,NA,NA,NA,NA,30.541667,39,13,40.166667,44,0
2/13/07,0.012706,0.021,8,19,18.416667,28,17,26,NA,NA,NA,NA,17.166667,25,13,28.833333,40,23
2/14/07,0.016941,0.019,9,18,20.333333,29,4,27,7.2,0,7.2,30,26.458333,35,15,85.625,91,8
