Date.Local,mia.ozone.Mean,mia.ozone.Max.Value,mia.ozone.Max.Hour,mia.ozone.AQI,mia.nitrogen.Mean,mia.nitrogen.Max.Value,mia.nitrogen.Max.Hour,mia.nitrogen.AQI
1/1/07,0.025176,0.029,7,27,2.333333,6,19,6
1/2/07,0.026353,0.03,20,28,4.333333,25,8,24
1/3/07,0.031765,0.033,19,31,2.041667,5,14,5
1/4/07,0.032353,0.034,8,31,2.318182,5,8,5
1/5/07,0.029353,0.03,7,28,1.25,3,12,3
1/6/07,0.031118,0.033,7,31,2.083333,5,16,5
1/7/07,0.031882,0.034,23,31,2.166667,3,8,3
1/8/07,0.029,0.035,7,32,2.625,8,20,8
1/9/07,0.038353,0.045,11,42,11.541667,19,19,18
1/10/07,0.041706,0.046,13,43,9.083333,25,7,24
1/11/07,0.043294,0.044,19,41,2,4,8,4
1/12/07,0.044882,0.046,7,43,2.25,5,11,5
1/13/07,0.043353,0.045,7,42,2,3,7,3
1/14/07,0.041647,0.042,7,39,1.958333,4,10,4
1/15/07,0.032941,0.038,7,35,3.208333,7,20,7
1/16/07,0.027235,0.035,9,32,3.090909,11,8,10
1/17/07,0.035824,0.039,10,36,11.458333,29,8,27
1/18/07,0.029353,0.033,7,31,3.458333,7,8,7
1/19/07,0.036941,0.046,13,43,13.916667,26,4,25
1/20/07,0.040824,0.043,11,40,12.291667,31,7,29
1/21/07,0.041176,0.044,7,41,3.083333,5,10,5
1/22/07,0.026647,0.034,7,31,2.791667,8,23,8
1/23/07,0.034118,0.041,13,38,7.083333,17,8,16
1/24/07,0.024706,0.034,8,31,7.291667,30,7,28
1/25/07,0.022824,0.027,19,25,13,22,1,21
1/26/07,0.044353,0.048,14,44,9.708333,23,8,22
1/27/07,0.044765,0.047,7,44,2.958333,5,9,5
1/28/07,0.040412,0.042,10,39,4.291667,11,19,10
1/29/07,0.030059,0.039,10,36,16.041667,36,23,34
1/30/07,0.032118,0.05,12,46,22.291667,42,8,40
1/31/07,0.054,0.058,13,61,19.291667,41,0,39
2/1/07,0.033529,0.046,7,43,2.695652,5,13,5
2/2/07,0.027176,0.033,10,31,3.75,7,7,7
2/3/07,0.030647,0.037,13,34,9.916667,26,10,25
2/4/07,0.025529,0.044,23,41,12.791667,29,5,27
2/5/07,0.040118,0.049,9,45,6.625,18,20,17
2/6/07,0.044647,0.049,17,45,12.956522,38,10,36
2/7/07,0.049765,0.053,18,49,5.041667,13,5,12
2/8/07,0.050882,0.062,12,74,15.166667,45,8,42
2/9/07,0.045,0.055,12,51,12.916667,38,7,36
2/10/07,0.042941,0.058,12,61,21.166667,39,9,37
2/11/07,0.056118,0.064,13,80,16.875,50,0,47
