"","Date.Local","bos.ozone.Mean","bos.ozone.Max.Value","bos.ozone.Max.Hour","bos.ozone.AQI","bos.nitrogen.Mean","bos.nitrogen.Max.Value","bos.nitrogen.Max.Hour","bos.nitrogen.AQI","bos.pm.Max.Value","bos.pm.Max.Hour","bos.pm.Mean","bos.pm.AQI","bos.temp.Mean","bos.temp.Max.Value","bos.temp.Max.Hour","bos.rh.Mean","bos.rh.Max.Value","bos.rh.Max.Hour"
"1","2007-01-03",0.004143,0.013,10,12,22.458333,32,7,30,6.3,0,6.3,26,41.791667,52,13,51.583333,72,5
"2","2007-01-06",0.016,0.023,22,21,9.541667,17,18,16,2.8,0,2.8,12,61.791667,70,12,76.208333,91,0
"3","2007-01-09",0.007882,0.018,8,17,19.35,29,21,27,4.4,0,4.4,18,37.958333,44,12,50.041667,63,23
"4","2007-01-12",0.004,0.013,7,12,19.75,32,17,30,10,0,10,42,42.958333,52,14,57.5,69,0
"5","2007-01-15",0.001588,0.006,7,6,22.583333,29,21,27,11.4,0,11.4,48,35.583333,41,12,89.25,92,12
"6","2007-01-18",0.005294,0.011,8,10,26.125,33,16,31,9.8,0,9.8,41,26.083333,35,14,61.708333,89,23
"7","2007-01-21",0.022706,0.028,8,26,13.416667,22,17,21,2.2,0,2.2,9,19.833333,26,12,35.916667,46,6
"8","2007-01-24",0.011765,0.017,21,16,27.208333,39,6,37,10.5,0,10.5,44,32.25,43,12,54.583333,69,6
"9","2007-01-27",0.004647,0.013,8,12,23.208333,32,19,30,12.7,0,12.7,52,16.708333,26,20,47.208333,54,11
"10","2007-01-30",0.006471,0.018,8,17,24.25,38,18,36,11,0,11,46,24,32,14,46.75,60,4
"11","2007-02-02",0.000588,0.006,23,6,30.5,35,16,33,31.5,0,31.5,92,34.583333,37,9,72.833333,89,23
"12","2007-02-05",0.018235,0.021,8,19,15.125,24,7,23,5.7,0,5.7,24,13.875,19,13,34.75,48,22
"13","2007-02-08",0.017529,0.02,8,19,18.25,28,18,26,6.1,0,6.1,25,20.583333,26,10,46.166667,52,5
"14","2007-02-11",0.018,0.027,9,25,19.708333,28,5,26,10.1,0,10.1,42,26.208333,34,12,46.666667,62,6
"15","2007-02-14",0.016941,0.019,9,18,20.333333,29,4,27,7.2,0,7.2,30,26.458333,35,15,85.625,91,8
"16","2007-02-17",0.017353,0.03,9,28,18,30,22,28,9.9,0,9.9,41,28.458333,37,14,43.125,54,3
"17","2007-02-20",0.006471,0.018,8,17,30.545455,47,18,44,14.7,0,14.7,56,37.375,52,14,46.416667,63,7
"18","2007-02-23",0.025588,0.027,8,25,17.458333,32,0,30,7.2,0,7.2,30,29.791667,35,14,58.458333,89,5
"19","2007-02-26",0.005882,0.014,9,13,29.458333,45,8,42,11.1,0,11.1,46,33.416667,35,0,73.75,89,7
"20","2007-03-01",0.015353,0.024,23,22,25.25,35,16,33,7.1,0,7.1,30,35.416667,44,13,36.75,56,23
"21","2007-03-04",0.028294,0.03,7,28,12.458333,25,0,24,5,0,5,21,36.333333,43,11,53.166667,78,0
"22","2007-03-07",0.016588,0.025,9,23,24.625,38,19,36,5.8,0,5.8,24,15.875,25,13,30.208333,40,23
"23","2007-03-10",0.032412,0.035,10,32,18.875,46,6,43,10.9,0,10.9,45,40.875,52,12,66.833333,77,23
"24","2007-03-13",0.030588,0.035,20,32,25.291667,40,5,38,11.5,0,11.5,48,49.25,62,13,48.625,80,23
"25","2007-03-16",0.024824,0.029,18,27,15.5,24,12,23,5.1,0,5.1,21,30.125,39,0,72.291667,93,18
"26","2007-03-19",0.030824,0.037,21,34,17.666667,29,6,27,3.7,0,3.7,15,33.208333,43,13,52.583333,92,20
"27","2007-03-22",0.036294,0.039,18,36,12.666667,22,7,21,13.5,0,13.5,54,47.583333,57,13,78.583333,86,8
"28","2007-03-25",0.014706,0.029,8,27,17.625,36,21,34,5.9,0,5.9,25,41.416667,52,14,74.25,94,0
"29","2007-03-28",0.034765,0.036,10,33,16.125,26,2,25,3.2,0,3.2,13,50.043478,57,12,36.173913,81,2
"30","2007-03-31",0.025706,0.035,9,32,15.291667,39,18,37,4.2,0,4.2,18,44.833333,55,15,32.958333,53,23
"31","2007-04-03",0.03,0.033,19,31,16.954545,33,6,31,4.5,0,4.5,19,39.75,43,10,85.041667,93,0
"32","2007-04-06",0.014235,0.017,8,16,14.083333,20,17,19,4.1,0,4.1,17,33.666667,39,11,44.583333,54,2
"33","2007-04-09",0.019118,0.025,8,23,17.958333,28,19,26,3.9,0,3.9,16,41.791667,52,13,44.625,58,4
"34","2007-04-12",0.026,0.03,9,28,17.125,27,6,25,7.7,0,7.7,32,38.583333,41,6,80.083333,91,17
"35","2007-04-15",0.040647,0.045,22,42,9.416667,33,0,31,6,0,6,25,41.125,44,0,82.291667,91,19
"36","2007-04-18",0.026118,0.031,22,29,14.291667,24,16,23,5.2,0,5.2,22,40.666667,43,12,84.25,88,0
"37","2007-04-21",0.020529,0.045,9,42,32.083333,53,23,50,8.7,0,8.7,36,61.125,75,10,29.416667,47,4
"38","2007-04-24",0.032353,0.039,9,36,14.714286,38,5,36,8.4,0,8.4,35,66.916667,75,11,35.25,60,5
"39","2007-04-27",0.011059,0.013,7,12,26.208333,37,11,35,9.7,0,9.7,40,46.75,50,2,88.041667,94,8
"40","2007-04-30",0.022941,0.028,12,26,20.125,33,15,31,5,0,5,21,56.041667,71,15,70.375,94,6
"41","2007-05-03",0.027824,0.03,12,28,30.227273,50,5,47,4,0,4,17,58.458333,70,14,53.25,71,4
"42","2007-05-06",0.015765,0.029,9,27,15.375,35,22,33,3.5,0,3.5,15,49.083333,55,15,88.166667,99,3
"43","2007-05-09",0.033176,0.052,10,48,25.708333,52,12,49,8,0,8,33,72.5,89,14,82.541667,100,0
"44","2007-05-12",0.018941,0.025,9,23,29,41,7,39,5.9,0,5.9,25,58.75,68,0,85.833333,94,0
"45","2007-05-18",0.015235,0.017,7,16,21.708333,31,7,29,3.1,0,3.1,13,42.875,44,0,99.833333,100,2
"46","2007-05-21",0.016588,0.024,10,22,21.117647,36,22,34,3.7,0,3.7,15,59.416667,70,16,71.291667,100,1
"47","2007-05-24",0.040176,0.051,12,47,26.5,42,17,40,14.5,0,14.5,56,72.875,91,14,81.625,100,2
"48","2007-05-27",0.020471,0.037,23,34,20.125,40,20,38,16,0,16,59,67.208333,71,7,84,100,19
"49","2007-05-30",0.035765,0.041,8,38,28.666667,40,4,38,8,0,8,33,74.434783,86,14,71.173913,86,22
"50","2007-06-02",0.046471,0.058,11,61,21.375,34,6,32,30.3,0,30.3,89,76.541667,91,13,93.833333,100,0
"51","2007-06-05",0.034765,0.047,11,44,17.541667,25,14,24,18.5,0,18.5,64,70.666667,82,11,97.833333,100,0
"52","2007-06-08",0.021647,0.03,10,28,28.833333,48,20,45,17.6,0,17.6,63,67.791667,77,9,97.791667,100,1
"53","2007-06-11",0.012294,0.021,9,19,15.166667,26,5,25,6.8,0,6.8,28,72.625,80,10,96.5,100,1
"54","2007-06-14",0.015059,0.018,8,17,12.875,18,20,17,7.3,0,7.3,30,56.416667,61,8,82.25,94,23
"55","2007-06-17",0.028882,0.042,9,39,15,40,22,38,16.2,0,16.2,60,75.291667,89,12,81.833333,100,1
"56","2007-06-20",0.011647,0.015,10,14,19.625,32,15,30,13.6,0,13.6,54,71.583333,80,17,93.458333,100,1
"57","2007-06-23",0.011235,0.018,9,17,13.291667,26,20,25,4.2,0,4.2,18,65.083333,73,16,77.458333,99,2
"58","2007-06-26",0.059706,0.071,20,101,20.045455,40,15,38,31,0,31,91,82.958333,98,15,87.208333,100,0
"59","2007-06-29",0.018059,0.023,9,21,12.666667,28,17,26,5.5,0,5.5,23,70.333333,79,17,82.833333,100,21
