"","Date.Local","dal.ozone.Mean","dal.ozone.Max.Value","dal.ozone.Max.Hour","dal.ozone.AQI","dal.nitrogen.Mean","dal.nitrogen.Max.Value","dal.nitrogen.Max.Hour","dal.nitrogen.AQI","dal.pm.Max.Value","dal.pm.Max.Hour","dal.pm.Mean","dal.pm.AQI","dal.temp.Mean","dal.temp.Max.Value","dal.temp.Max.Hour","dal.rh.Mean","dal.rh.Max.Value","dal.rh.Max.Hour"
"1","2007-01-01",0.017882,0.03,9,28,12.625,37,22,35,5.8,0,5.8,24,41.875,51,15,56.416667,73,7
"2","2007-01-02",0.010353,0.022,11,20,27.916667,53,23,50,7.9,0,7.9,33,44.458333,53,16,49.583333,66,7
"3","2007-01-03",0.005941,0.013,10,12,34.833333,56,7,53,17.6,0,17.6,63,45.916667,53,12,68.291667,90,23
"4","2007-01-04",0.008118,0.012,9,11,20.875,29,2,27,8.2,0,8.2,34,49.333333,53,12,87.583333,94,2
"5","2007-01-05",0.005765,0.012,9,11,19.708333,35,18,33,11.6,0,11.6,48,53.5,62,16,83.041667,93,4
"6","2007-01-06",0.013059,0.021,10,19,12.125,29,21,27,7.8,0,7.8,33,48.458333,52,16,72.375,84,0
"7","2007-01-06",0.013059,0.021,10,19,12.125,29,21,27,8.3,0,8.3,35,48.458333,52,16,72.375,84,0
"8","2007-01-07",0.020765,0.031,12,29,11.954545,26,0,25,2.4,0,2.4,10,49,57,14,51.583333,78,0
"9","2007-01-08",0.009412,0.023,9,21,30.083333,51,21,48,6.7,0,6.7,28,47.916667,61,15,45.958333,78,7
"10","2007-01-09",0.011706,0.026,10,24,30.416667,53,23,50,7.4,0,7.4,31,50.166667,60,15,42,74,6
"11","2007-01-10",0.029588,0.037,13,34,23.625,49,0,46,7.1,0,7.1,30,53.083333,64,15,45.208333,72,23
"12","2007-01-11",0.025471,0.027,19,25,12.041667,26,6,25,5.5,0,5.5,23,60.583333,67,16,75.5,85,5
"13","2007-01-12",0.006353,0.008,9,7,13.708333,29,8,27,6.5,0,6.5,27,58.708333,68,14,85.416667,92,18
"14","2007-01-12",0.006353,0.008,9,7,13.708333,29,8,27,6.9,0,6.9,29,58.708333,68,14,85.416667,92,18
"15","2007-01-13",0.007118,0.008,14,7,9.416667,13,18,12,4.4,0,4.4,18,34.125,37,0,90.541667,92,0
"16","2007-01-14",0.011294,0.02,23,19,7.272727,12,0,11,7.4,0,7.4,31,32.833333,34,0,89.208333,93,9
"17","2007-01-15",0.027176,0.029,16,27,8.791667,19,12,18,5.4,0,5.4,23,28.75,31,0,70.583333,84,1
"18","2007-01-16",0.020882,0.023,20,21,12.958333,20,18,19,6.3,0,6.3,26,28.583333,31,16,58.708333,67,20
"19","2007-01-17",0.008882,0.011,10,10,22.333333,41,19,39,12.3,0,12.3,51,29.458333,32,18,75.75,84,6
"20","2007-01-18",0.003765,0.008,21,7,21.958333,29,18,27,16.8,0,16.8,61,35.583333,40,19,82.25,84,5
"21","2007-01-18",0.003765,0.008,21,7,21.958333,29,18,27,16.6,0,16.6,60,35.583333,40,19,82.25,84,5
"22","2007-01-19",0.010882,0.018,23,17,19.5,30,17,28,14.4,0,14.4,56,38.625,40,10,78.333333,88,22
"23","2007-01-20",0.005824,0.019,7,18,17.791667,30,19,28,6.7,0,6.7,28,37.833333,39,11,89.416667,93,17
"24","2007-01-21",0.023824,0.03,11,28,12.681818,20,18,19,4.3,0,4.3,18,45.083333,57,14,71.625,94,4
"25","2007-01-22",0.018176,0.031,9,29,14.666667,29,23,27,9.6,0,9.6,40,39.291667,45,16,62.875,76,0
"26","2007-01-23",0.004529,0.011,10,10,30.695652,42,19,40,18,0,18,63,38.666667,44,18,67.291667,82,5
"27","2007-01-24",0.005647,0.014,9,13,33.272727,42,1,40,13.6,0,13.6,54,44.375,50,15,63.958333,79,23
"28","2007-01-24",0.005647,0.014,9,13,33.272727,42,1,40,15,0,15,57,44.375,50,15,63.958333,79,23
"29","2007-01-25",0.008824,0.02,10,19,35.541667,59,23,56,15.1,0,15.1,57,45.916667,58,16,63.958333,89,5
"30","2007-01-26",0.027706,0.032,12,30,29.541667,59,9,56,11.3,0,11.3,47,51.125,62,15,57.625,90,5
"31","2007-01-27",0.025882,0.028,11,26,12.833333,33,7,31,6,0,6,25,50.541667,61,13,61.458333,88,7
"32","2007-01-28",0.015941,0.031,10,29,12.2,38,21,36,3.7,0,3.7,15,36.833333,42,15,43.541667,56,4
"33","2007-01-29",0.007,0.016,10,15,30.5,39,19,37,9,0,9,38,41.458333,48,14,48.916667,60,6
"34","2007-01-30",0.023176,0.027,10,25,17.166667,34,0,32,6,0,6,25,43.375,47,14,41.041667,56,5
"35","2007-01-30",0.023176,0.027,10,25,17.166667,34,0,32,5.9,0,5.9,25,43.375,47,14,41.041667,56,5
"36","2007-01-31",0.007824,0.009,8,8,19.666667,28,11,26,8.8,0,8.8,37,36,41,17,60.583333,83,23
"37","2007-02-01",0.005353,0.011,22,10,15.833333,21,7,20,18.3,0,18.3,64,37.083333,39,0,88.583333,92,17
"38","2007-02-02",0.008412,0.019,10,18,17.166667,34,22,32,15.4,0,15.4,58,33.208333,35,0,74.625,85,3
"39","2007-02-03",0.020412,0.03,10,28,20.25,33,0,31,13.8,0,13.8,55,39.541667,53,16,60.833333,90,6
"40","2007-02-04",0.017235,0.029,11,27,24.227273,41,22,39,15.6,0,15.6,58,45.875,57,16,57.75,83,6
"41","2007-02-05",0.015765,0.019,21,18,32.958333,52,19,49,9.4,0,9.4,39,50.625,64,16,56.583333,74,5
"42","2007-02-05",0.015765,0.019,21,18,32.958333,52,19,49,13.8,0,13.8,55,50.625,64,16,56.583333,74,5
"43","2007-02-06",0.030647,0.042,11,39,22.708333,48,7,45,10.3,0,10.3,43,58.833333,69,15,54.625,74,2
"44","2007-02-08",0.003353,0.007,7,6,14.125,28,0,26,23.2,0,23.2,74,43.083333,58,0,79.083333,92,23
"45","2007-02-10",0.019176,0.021,11,19,11.666667,16,22,15,20.7,0,20.7,69,42,45,15,56.666667,63,22
"46","2007-02-11",0.019059,0.023,9,21,10.272727,18,18,17,16,0,16,59,45.958333,50,18,64.583333,76,23
"47","2007-02-11",0.019059,0.023,9,21,10.272727,18,18,17,15.9,0,15.9,59,45.958333,50,18,64.583333,76,23
"48","2007-02-12",0.004412,0.006,15,6,18.791667,28,18,26,17.3,0,17.3,62,53.583333,62,17,88.666667,94,21
"49","2007-02-13",0.0217,0.024,12,22,8.863636,12,0,11,13.2,0,13.2,53,42.227273,55,0,68.181818,85,0
"50","2007-02-14",0.022588,0.023,7,21,9.6,13,17,12,13.2,0,13.2,53,30.5,32,16,60.95,67,8
"51","2007-02-15",0.023118,0.028,10,26,9.333333,14,19,13,10.2,0,10.2,43,29.291667,34,16,56.5,69,2
"52","2007-02-16",0.016471,0.027,10,25,22.958333,83,7,82,13.6,0,13.6,54,33.5,47,16,55.5,79,7
"53","2007-02-17",0.020941,0.037,10,34,19.333333,39,2,37,5.4,0,5.4,23,47.208333,56,14,40.916667,66,4
"54","2007-02-17",0.020941,0.037,10,34,19.333333,39,2,37,5.4,0,5.4,23,47.208333,56,14,40.916667,66,4
"55","2007-02-18",0.031235,0.036,11,33,18.545455,37,0,35,5.3,0,5.3,22,48.125,60,15,43.041667,80,6
"56","2007-02-19",0.034529,0.041,12,38,11.5,24,7,23,4.9,0,4.9,20,58.166667,71,16,49.75,68,23
"57","2007-02-20",0.017588,0.036,11,33,19.583333,42,19,40,7.2,0,7.2,30,67.166667,80,15,52.041667,81,7
"58","2007-02-21",0.014118,0.03,11,28,30.625,56,23,53,9.6,0,9.6,40,63.333333,77,16,37.625,70,0
"59","2007-02-22",0.032059,0.043,12,40,34.833333,67,8,65,12.9,0,12.9,53,66.416667,79,14,35.208333,58,6
"60","2007-02-23",0.021235,0.024,21,22,16.291667,31,6,29,10.5,0,10.5,44,63.166667,69,15,73.125,91,18
"61","2007-02-23",0.021235,0.024,21,22,16.291667,31,6,29,11.3,0,11.3,47,63.166667,69,15,73.125,91,18
"62","2007-02-24",0.032176,0.038,9,35,4.875,7,7,7,20,0,20,68,64,69,13,46.125,85,3
"63","2007-02-24",0.032176,0.038,9,35,4.875,7,7,7,20,0,20,68,64,69,13,46.125,85,3
"64","2007-02-25",0.025118,0.04,10,37,14.25,48,20,45,4.4,0,4.4,18,52.916667,62,16,28.916667,45,0
"65","2007-02-26",0.031294,0.039,11,36,18.541667,35,6,33,5.3,0,5.3,22,60.541667,75,14,28.958333,53,5
"66","2007-02-27",0.035412,0.048,11,44,16.583333,42,6,40,13.2,0,13.2,53,64.5,80,15,42,64,23
"67","2007-02-28",0.021706,0.025,12,23,10.083333,24,8,23,16.6,0,16.6,60,68.75,74,14,70.833333,83,23
"68","2007-03-01",0.021529,0.039,10,36,12.666667,49,23,46,8.7,0,8.7,36,58.208333,68,0,40.25,84,0
"69","2007-03-01",0.021529,0.039,10,36,12.666667,49,23,46,9.2,0,9.2,38,58.208333,68,0,40.25,84,0
"70","2007-03-02",0.026412,0.041,10,38,25.708333,49,22,46,5.5,0,5.5,23,52.791667,61,14,28.75,72,4
"71","2007-03-03",0.032471,0.04,10,37,8.875,30,1,28,4.5,0,4.5,19,46.875,52,15,25.875,35,6
"72","2007-03-04",0.020706,0.041,10,38,17.636364,50,21,47,5.6,0,5.6,23,45.625,57,16,29.708333,50,4
"73","2007-03-05",0.024471,0.041,10,38,32.636364,46,7,43,7.5,0,7.5,31,55.625,70,15,29.041667,54,6
