"","Date.Local","lax.ozone.Mean","lax.ozone.Max.Value","lax.ozone.Max.Hour","lax.ozone.AQI","lax.nitrogen.Mean","lax.nitrogen.Max.Value","lax.nitrogen.Max.Hour","lax.nitrogen.AQI","lax.pm.Max.Value","lax.pm.Max.Hour","lax.pm.Mean","lax.pm.AQI","lax.temp.Mean","lax.temp.Max.Value","lax.temp.Max.Hour","lax.rh.Mean","lax.rh.Max.Value","lax.rh.Max.Hour"
"1","2007-01-03",0.003647,0.008,8,7,42.695652,54,8,51,16.6,0,16.6,60,59.583333,74,12,50.5,86,23
"2","2007-01-04",0.017059,0.028,23,26,25.043478,33,19,31,18.9,0,18.9,65,55.916667,64,13,74.375,88,3
"3","2007-01-05",0.014,0.034,9,31,19.304348,47,18,44,3.9,0,3.9,16,54.666667,64,15,25.75,51,3
"4","2007-01-06",0.005471,0.015,9,14,36.217391,42,0,40,12.8,0,12.8,52,52.791667,70,12,36.208333,61,20
"5","2007-01-09",0.004882,0.012,9,11,40,50,8,47,10.4,0,10.4,43,66,87,12,30.5,50,23
"6","2007-01-10",0.005765,0.007,15,6,41.565217,57,15,54,19.1,0,19.1,66,59.25,73,12,50.166667,81,20
"7","2007-01-12",0.016882,0.03,10,28,19.217391,37,23,35,4.7,0,4.7,20,48.333333,54,13,30.25,60,0
"8","2007-01-18",0.006824,0.016,9,15,40.478261,54,8,51,16.1,0,16.1,59,52.083333,69,13,40.958333,70,2
"9","2007-01-24",0.002235,0.006,8,6,50.869565,66,15,64,26.6,0,26.6,81,58.625,78,11,45.375,66,19
"10","2007-01-25",0.005647,0.014,9,13,42.086957,52,20,49,14.2,0,14.2,55,61.5,80,12,34.375,50,0
"11","2007-01-26",0.010235,0.014,14,13,39.695652,71,12,69,23.8,0,23.8,76,56.666667,68,12,56.208333,80,20
"12","2007-01-27",0.014941,0.028,9,26,25.095238,36,20,34,12.6,0,12.6,52,54.5,60,10,75.791667,87,20
"13","2007-01-30",0.005353,0.009,9,8,34.391304,45,18,42,19.2,0,19.2,66,54.416667,58,9,78,83,0
"14","2007-01-30",0.005353,0.009,9,8,34.391304,45,18,42,19.4,0,19.4,66,54.416667,58,9,78,83,0
"15","2007-01-31",0.015588,0.024,16,22,30,42,7,40,14.5,0,14.5,56,54.375,62,13,73.291667,84,3
"16","2007-02-04",0.012882,0.031,9,29,35.913043,56,19,53,11.3,0,11.3,47,66.416667,89,14,30.75,56,0
"17","2007-02-05",0.004412,0.011,9,10,46.913043,65,22,63,12.7,0,12.7,52,68.291667,88,12,34.708333,51,23
"18","2007-02-05",0.004412,0.011,9,10,46.913043,65,22,63,12.9,0,12.9,53,68.291667,88,12,34.708333,51,23
"19","2007-02-06",0.004235,0.01,9,9,57.347826,95,11,95,29.7,0,29.7,88,62.75,78,13,55.5,83,22
"20","2007-02-07",0.004294,0.008,9,7,52.608696,81,11,80,45.3,0,45.3,125,56.166667,67,11,77.833333,91,6
"21","2007-02-08",0.004235,0.009,9,8,51.217391,68,17,66,44.9,0,44.9,124,56.25,71,14,66.416667,88,3
"22","2007-02-09",0.003588,0.008,9,7,56.086957,86,11,85,43.1,0,43.1,120,58.208333,71,13,63.208333,80,1
"23","2007-02-10",0.012765,0.021,12,19,35.782609,81,11,80,25.1,0,25.1,78,58.791667,71,12,70.458333,87,18
"24","2007-02-11",0.018588,0.031,11,29,15.391304,38,21,36,5.8,0,5.8,24,58.5,65,11,80.375,91,6
"25","2007-02-11",0.018588,0.031,11,29,15.391304,38,21,36,5.5,0,5.5,23,58.5,65,11,80.375,91,6
"26","2007-02-12",0.018412,0.026,12,24,23.695652,41,8,39,7.2,0,7.2,30,57.583333,65,14,72.5,85,4
"27","2007-02-13",0.0097,0.022,14,20,25.157895,40,22,38,5.2,0,5.2,22,56.333333,64,12,59.333333,82,5
"28","2007-02-14",0.008176,0.018,10,17,36.26087,55,18,52,9.8,0,9.8,41,57.958333,73,13,52.125,74,6
"29","2007-02-15",0.006824,0.018,9,17,37.619048,47,19,44,14.8,0,14.8,57,57.541667,74,12,60.708333,82,23
"30","2007-02-17",0.014118,0.033,10,31,37.956522,58,19,55,10.2,0,10.2,43,70.666667,89,12,39.083333,62,4
"31","2007-02-18",0.034,0.043,10,40,20.73913,44,0,42,8.9,0,8.9,37,62.708333,73,12,56.916667,85,23
"32","2007-02-19",0.016471,0.033,11,31,17.73913,33,20,31,5.5,0,5.5,23,56.583333,67,14,72.375,86,5
"33","2007-02-20",0.014706,0.026,10,24,23.695652,34,22,32,11.9,0,11.9,50,56.541667,66,11,72.041667,85,23
"34","2007-02-21",0.018882,0.028,11,26,31.434783,46,23,43,20.6,0,20.6,69,56.666667,70,12,74.375,86,0
"35","2007-02-22",0.017176,0.022,7,20,24.478261,44,1,42,6.5,0,6.5,27,53.166667,58,13,76.833333,88,18
"36","2007-02-27",0.022667,0.033,12,31,13.6,35,22,33,3.9,0,3.9,16,53.333333,59,11,64.833333,85,6
"37","2007-02-28",0.033,0.036,18,33,14.695652,34,5,32,3.8,0,3.8,16,50.833333,59,12,49.208333,73,5
"38","2007-03-01",0.013059,0.028,10,26,23.238095,53,19,50,5.8,0,5.8,24,53.291667,66,12,39.5,54,18
"39","2007-03-02",0.012118,0.028,10,26,40.086957,59,7,56,10.1,0,10.1,42,56.083333,71,13,44.166667,65,4
"40","2007-03-04",0.016765,0.038,9,35,33.565217,62,20,60,7,0,7,29,65.5,81,15,26.875,48,3
