"","Date.Local","nyc.ozone.Mean","nyc.ozone.Max.Value","nyc.ozone.Max.Hour","nyc.ozone.AQI","nyc.nitrogen.Mean","nyc.nitrogen.Max.Value","nyc.nitrogen.Max.Hour","nyc.nitrogen.AQI","nyc.pm.Max.Value","nyc.pm.Max.Hour","nyc.pm.Mean","nyc.pm.AQI","nyc.temp.Mean","nyc.temp.Max.Value","nyc.temp.Max.Hour","nyc.rh.Mean","nyc.rh.Max.Value","nyc.rh.Max.Hour"
"1","2013-04-10",0.026706,0.041,11,38,25.733333,54.8,23,51,11.9,0,11.9,50,62.208333,73,13,75.125,97,23
"2","2013-04-13",0.020059,0.033,10,31,21.225,50.4,23,47,6.1,0,6.1,25,48.208333,57,14,79.291667,96,0
"3","2013-04-16",0.030118,0.04,9,37,18.466667,34.8,22,32,4.9,0,4.9,20,55.25,62,11,84.833333,92,22
"4","2013-04-19",0.022471,0.034,23,31,14.858333,31.7,6,29,6,0,6,25,60.708333,69,14,93.541667,99,1
"5","2013-04-22",0.034,0.039,8,36,6.919048,12.6,1,11,4.5,0,4.5,19,47.166667,54,14,70.291667,84,5
"6","2013-04-25",0.030941,0.052,10,48,16.1875,49.1,21,46,4.9,0,4.9,20,56.166667,66,16,51.958333,95,0
"7","2013-04-28",0.054412,0.063,11,77,25.204167,46.5,3,43,8.7,0,8.7,36,57.875,69,12,60.708333,87,3
"8","2013-05-01",0.029118,0.045,7,42,16.633333,42.4,5,40,4.7,0,4.7,20,57.521739,69,15,60.833333,84,23
"9","2013-05-04",0.040294,0.043,10,40,11.595833,26.3,4,25,9.5,0,9.5,40,55.708333,71,13,73.791667,93,0
"10","2013-05-07",0.026235,0.036,9,33,14.666667,25.3,0,24,6,0,6,25,62.125,74,13,83.916667,95,1
"11","2013-05-10",0.037,0.049,9,45,23.133333,49.3,0,46,13,0,13,53,68.125,81,13,76.333333,92,3
"12","2013-05-13",0.033647,0.039,10,36,9.995652,17.5,5,16,4.3,0,4.3,18,50.708333,56,12,52.958333,76,23
"13","2013-05-16",0.033706,0.045,11,42,29.7625,65.9,21,63,10.7,0,10.7,45,71.55,81,14,57.714286,81,3
"14","2013-05-19",0.025706,0.031,8,29,9.766667,13.7,20,12,2.4,0,2.4,10,57.166667,58,0,95.708333,98,15
"15","2013-05-22",0.014647,0.022,12,20,22.3375,42.1,21,40,15.8,0,15.8,59,69.083333,79,13,88.541667,97,5
"16","2013-05-25",0.027,0.03,20,28,6.279167,8.1,11,8,1.4,0,1.4,6,49.666667,54,13,83.416667,96,1
"17","2013-05-28",0.029118,0.032,9,30,25.047826,37.7,7,35,10.7,0,10.7,45,60.458333,71,9,81.916667,99,23
