"","Date.Local","wdc.ozone.Mean","wdc.ozone.Max.Value","wdc.ozone.Max.Hour","wdc.ozone.AQI","wdc.nitrogen.Mean","wdc.nitrogen.Max.Value","wdc.nitrogen.Max.Hour","wdc.nitrogen.AQI","wdc.pm.Max.Value","wdc.pm.Max.Hour","wdc.pm.Mean","wdc.pm.AQI","wdc.temp.Mean","wdc.temp.Max.Value","wdc.temp.Max.Hour","wdc.rh.Mean","wdc.rh.Max.Value","wdc.rh.Max.Hour"
"1","2013-01-01",0.022235,0.026,9,24,13.829167,24.1,5,23,16,1,9.75,NA,41.875,44,14,48.2625,58.5,23
"2","2013-01-02",0.021,0.027,9,25,11.116667,29.6,20,27,21,8,14.083333,NA,34.541667,38,0,45.995833,58.6,0
"3","2013-01-03",0.010412,0.019,9,18,25.85,38.7,21,36,32,7,17.333333,NA,33.125,38,14,44.458333,51.6,21
"4","2013-01-04",0.025588,0.03,9,28,15.370833,37.5,0,35,22,1,12.333333,NA,37.333333,44,15,44.070833,51.6,0
"5","2013-01-05",0.018471,0.032,9,30,16.058333,44.9,19,42,26,19,12.458333,NA,38.958333,43,14,44.254167,62.9,23
"6","2013-01-06",0.027765,0.033,14,31,16.670833,32.9,8,30,22,8,12.625,NA,44.125,50,14,50.725,75.4,7
"7","2013-01-07",0.014588,0.03,9,28,14.725,44.6,22,42,29,22,13.333333,NA,42,45,0,48.166667,60.5,23
"8","2013-01-08",0.008647,0.02,9,19,31.670833,49.8,1,46,31,0,18.791667,NA,43.041667,53,16,56.720833,72.6,6
"9","2013-01-09",0.009529,0.026,22,24,33.230435,55.3,7,52,36,7,22.208333,NA,45.083333,53,23,65.8375,76.5,7
"10","2013-01-10",0.013412,0.026,8,24,17.170833,36.2,21,34,17,21,10,NA,48.583333,53,0,40.220833,49.4,23
"11","2013-01-11",0.004353,0.008,21,7,30.595833,42.7,6,40,28,8,19.916667,NA,42.875,46,12,69.9125,90.1,18
"12","2013-01-12",0.001765,0.005,7,5,19.870833,28.9,14,26,38,16,23.666667,NA,46.25,54,14,84.020833,91.6,6
"13","2013-01-13",0.000176,0.001,21,1,12.616667,17,0,16,21,0,11.208333,NA,48.291667,53,16,92.3375,93.2,23
"14","2013-01-14",0.019471,0.025,20,23,14.75,27,7,25,17,1,9.208333,NA,54.041667,60,4,70.858333,93.4,0
"15","2013-01-15",0.004706,0.009,7,8,15.345455,26.1,20,25,29,18,13.833333,NA,37.99,39.6,14,84.0875,87.4,7
"16","2013-02-07",0.022176,0.029,21,27,25.945833,38.2,7,36,29,8,18.041667,NA,35.166667,39,16,56.165217,67.5,22
