date,ozone,blue,clothes,love,shoes,isPartial,ozone,air pollutant,air pollution alert,air pollution,arrhythmia,isPartial,ozone,asthma attack,asthma,black carbon,blue,isPartial,ozone,bronchiolitis,bronchitis,brown,brownish,isPartial,ozone,cardiovascular disease,chest pain,chest tightness,childhood asthma,isPartial,ozone,chronic obstructive pulmonary disease,code orange,code red,COPD,isPartial,ozone,cough,coughing,difficulty breathing,elemental carbon,isPartial,ozone,fine inhalable particles,fine particles,fine particulates,grey,isPartial,ozone,haze,headache,heart murmur,industrial pollution,isPartial,ozone,inhaler use,inhaler,irregular heartbeat,lung cancer,isPartial,ozone,lung disease,lung irritation,n02,nitrogen dioxide,isPartial,ozone,nitrogen oxides,no2,O3,organic carbon,isPartial,ozone,oxides of nitrogen,traffic emission,particle pollution,particulate matter pollution,isPartial,ozone,particulate matter,pediatric asthma,pink,pm2.5,isPartial,ozone,pm5,power plants,premature death,rapid breathing,isPartial,ozone,Rapid heart rate,rapid pulse,reddish-brown,respiratory illness,isPartial,ozone,respiratory infection,shortness of breath,smog,smoggy,isPartial,ozone,smoke,snoring,soot,sulfate,isPartial,ozone,tailpipe,throat irritation,traffic emission,traffic exposure,isPartial,ozone,traffic,wheezing,wildfires,isPartial
2007-01-01,0,44,14,46,31,False,42,0,0,0,0,False,0,0,0,0,50,False,0,0,13,52,0,False,0,0,40,0,0,False,0,0,0,0,41,False,0,40,0,0,0,False,0,0,0,0,26,False,0,40,40,0,0,False,0,0,0,40,40,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,54,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,10,0,0,0,False,0,0,0,0,0,False,0,11,0,0,False
2007-01-02,3,51,9,39,25,False,0,0,0,0,0,False,4,0,4,0,55,False,0,0,0,58,0,False,0,24,0,24,0,False,0,0,0,0,0,False,0,24,24,0,0,False,30,0,0,0,15,False,0,0,0,24,0,False,0,0,0,0,24,False,64,0,0,0,0,False,0,0,0,0,0,False,64,0,0,0,0,False,11,0,0,46,0,False,64,0,0,0,0,False,48,0,0,0,0,False,48,0,24,24,0,False,0,12,0,0,6,False,0,0,0,0,0,False,0,14,0,0,False
2007-01-03,2,57,9,37,29,False,23,0,0,0,0,False,2,0,3,0,64,False,4,0,6,57,0,False,23,0,23,0,0,False,23,0,0,23,23,False,23,0,23,0,0,False,14,0,0,0,29,False,23,0,46,23,0,False,23,0,0,23,23,False,31,0,0,0,0,False,23,0,0,0,0,False,31,0,0,0,0,False,5,0,0,35,0,False,31,0,0,0,0,False,23,0,0,0,0,False,23,0,0,0,0,False,6,23,0,0,6,False,23,0,0,0,0,False,3,10,0,0,False
2007-01-04,2,64,9,44,27,False,0,0,0,0,0,False,0,0,2,0,66,False,4,0,0,61,0,False,23,0,23,0,0,False,23,0,0,0,23,False,23,35,0,0,0,False,0,0,0,0,36,False,23,23,34,23,0,False,23,0,23,0,23,False,31,0,0,0,0,False,23,0,0,0,0,False,31,0,0,0,0,False,6,0,0,53,0,False,31,0,0,0,0,False,0,23,0,0,0,False,0,0,0,0,0,False,6,17,6,0,0,False,23,0,0,0,0,False,3,23,0,0,False
2007-01-05,0,52,9,46,30,False,0,0,0,0,0,False,0,0,3,0,56,False,0,0,4,44,0,False,0,0,23,0,0,False,0,0,0,0,0,False,0,23,0,0,0,False,0,0,0,0,29,False,0,0,0,0,0,False,0,0,23,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,49,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,11,0,0,6,False,0,0,0,0,0,False,0,32,3,0,False
2007-01-06,4,55,16,53,29,False,34,0,0,0,0,False,5,0,5,0,59,False,6,0,0,56,6,False,35,0,0,35,0,False,35,0,0,36,0,False,35,35,0,0,0,False,43,0,0,0,43,False,35,0,34,0,0,False,35,0,0,0,0,False,70,0,0,0,0,False,35,0,0,0,0,False,70,0,0,0,0,False,12,0,0,37,0,False,70,0,0,0,0,False,69,0,0,0,0,False,69,0,0,0,0,False,9,17,0,0,0,False,35,0,0,0,0,False,5,9,0,0,False
2007-01-07,2,44,11,52,29,False,0,0,0,0,0,False,0,0,3,0,51,False,6,0,6,61,0,False,35,0,0,0,0,False,35,0,0,0,0,False,35,69,0,0,0,False,0,0,0,0,21,False,35,0,34,0,0,False,35,0,0,0,35,False,46,0,0,0,0,False,35,0,0,0,0,False,46,0,0,0,0,False,8,0,0,41,0,False,46,0,0,0,0,False,0,0,0,0,0,False,0,0,34,0,0,False,9,26,0,0,0,False,35,0,0,0,0,False,5,9,0,0,False
2007-01-08,3,54,7,38,25,False,22,0,0,0,0,False,3,0,2,2,60,False,0,0,7,37,0,False,0,0,0,0,0,False,0,0,0,0,22,False,0,56,0,0,0,False,28,0,0,0,42,False,0,22,22,0,0,False,0,0,0,0,34,False,60,0,0,0,0,False,0,0,0,0,0,False,60,0,0,0,0,False,11,0,0,42,0,False,60,0,59,0,0,False,45,0,0,0,0,False,45,0,22,0,0,False,0,8,0,0,0,False,0,0,0,0,0,False,0,23,0,0,False
2007-01-09,0,53,6,48,24,False,0,0,0,0,0,False,0,0,2,0,62,False,0,0,3,58,0,False,0,22,0,0,0,False,0,0,0,22,0,False,0,55,22,0,0,False,0,0,0,0,27,False,0,22,65,0,0,False,0,0,0,0,33,False,0,29,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,47,0,False,0,0,0,0,0,False,0,0,0,0,22,False,0,0,0,0,0,False,0,11,0,0,16,False,0,0,0,0,0,False,0,30,0,0,False
2007-01-10,2,46,11,47,28,False,0,0,0,0,0,False,0,0,3,0,52,False,4,0,5,57,0,False,22,0,22,0,0,False,22,0,0,0,22,False,22,44,22,0,0,False,0,0,0,0,49,False,22,0,22,0,0,False,22,0,22,0,44,False,29,0,0,0,0,False,22,0,0,0,0,False,29,0,0,0,0,False,5,0,0,40,0,False,29,0,30,0,0,False,0,22,0,0,0,False,0,0,0,0,0,False,5,5,0,0,5,False,22,0,0,0,0,False,3,19,0,3,False
