date,ozone,air pollutant,air pollution alert,air pollution,arrhythmia,isPartial,ozone,asthma attack,asthma,black carbon,blue,isPartial,ozone,bronchiolitis,bronchitis,brown,brownish,isPartial,ozone,cardiovascular disease,chest pain,chest tightness,childhood asthma,isPartial,ozone,chronic obstructive pulmonary disease,code orange,code red,COPD,isPartial,ozone,cough,coughing,difficulty breathing,elemental carbon,isPartial,ozone,fine inhalable particles,fine particles,fine particulates,grey,isPartial,ozone,haze,headache,heart murmur,industrial pollution,isPartial,ozone,inhaler use,inhaler,irregular heartbeat,lung cancer,isPartial,ozone,lung disease,lung irritation,n02,nitrogen dioxide,isPartial,ozone,nitrogen oxides,no2,O3,organic carbon,isPartial,ozone,oxides of nitrogen,traffic emission,particle pollution,particulate matter pollution,isPartial,ozone,particulate matter,pediatric asthma,pink,pm2.5,isPartial,ozone,pm5,power plants,premature death,rapid breathing,isPartial,ozone,Rapid heart rate,rapid pulse,reddish-brown,respiratory illness,isPartial,ozone,respiratory infection,shortness of breath,smog,smoggy,isPartial,ozone,smoke,snoring,soot,sulfate,isPartial,ozone,tailpipe,throat irritation,traffic emission,traffic exposure,isPartial,ozone,traffic,wheezing,wildfires,isPartial
2007-01-01,0,0,0,0,0,False,0,0,2,0,67,False,0,0,6,44,0,False,0,0,44,0,0,False,0,0,0,0,0,False,0,32,32,0,0,False,0,0,0,0,38,False,0,35,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,58,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,44,0,0,0,False,0,0,0,0,0,False,0,21,0,0,False
2007-01-02,0,0,0,0,0,False,0,0,1,0,76,False,0,0,6,71,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,58,19,0,0,False,0,0,0,0,28,False,0,0,42,0,0,False,0,0,0,0,17,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,40,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,17,0,0,0,False,0,46,13,0,13,False,0,0,0,0,0,False,0,19,0,0,False
2007-01-03,0,0,0,0,0,False,0,0,1,0,90,False,0,4,4,66,0,False,0,0,26,0,0,False,0,0,0,0,26,False,0,38,19,0,0,False,0,0,0,0,39,False,0,21,0,0,0,False,0,0,0,0,16,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,44,0,False,0,0,16,0,0,False,0,0,0,0,16,False,0,0,0,0,0,False,0,26,0,0,13,False,0,0,0,0,0,False,0,27,0,0,False
2007-01-04,17,0,0,0,0,False,1,0,6,0,61,False,4,0,7,52,0,False,52,0,26,26,0,False,52,0,0,0,0,False,38,76,0,0,0,False,23,0,0,0,28,False,42,0,0,0,0,False,17,0,0,0,25,False,17,0,0,0,0,False,17,0,0,0,0,False,52,0,0,0,0,False,11,0,0,37,0,False,17,0,0,0,0,False,17,0,0,0,0,False,17,0,33,17,0,False,13,39,0,0,0,False,17,0,0,0,0,False,4,17,0,0,False
2007-01-05,26,0,0,0,0,False,2,0,2,0,69,False,6,0,4,56,0,False,54,0,0,0,0,False,54,0,0,0,27,False,39,0,0,0,0,False,23,0,0,0,12,False,43,0,33,0,0,False,26,0,0,0,43,False,26,0,0,0,0,False,26,0,17,0,0,False,54,0,0,0,0,False,11,0,0,25,0,False,26,0,0,0,0,False,26,0,0,0,0,False,26,0,0,0,0,False,20,13,13,0,0,False,26,0,0,0,0,False,6,15,0,0,False
2007-01-06,0,0,0,0,0,False,0,0,2,0,70,False,0,0,0,94,0,False,39,0,0,0,0,False,39,0,0,39,0,False,28,42,0,0,0,False,17,0,0,0,33,False,31,0,31,0,0,False,0,0,0,0,25,False,0,0,0,0,0,False,0,0,0,0,0,False,39,0,0,0,0,False,8,0,0,74,0,False,0,0,25,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,20,0,0,19,False,0,0,0,0,0,False,0,9,0,0,False
2007-01-07,0,0,0,0,0,False,0,0,4,0,54,False,0,0,6,67,0,False,0,39,0,0,0,False,0,0,0,0,39,False,0,100,0,0,0,False,0,0,0,0,34,False,0,0,0,0,0,False,0,0,25,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,55,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,87,0,0,0,False,0,0,0,0,0,False,0,9,0,0,False
2007-01-08,32,0,0,0,0,False,3,0,0,0,58,False,7,0,5,52,0,False,0,0,51,0,0,False,0,0,0,25,0,False,0,55,0,0,0,False,0,0,0,0,33,False,0,41,20,0,0,False,32,0,0,0,0,False,32,0,0,0,0,False,32,0,0,0,0,False,0,0,0,0,0,False,0,0,0,51,0,False,32,0,16,0,0,False,32,0,0,0,0,False,32,0,16,0,0,False,25,31,12,0,12,False,32,0,0,0,0,False,8,32,4,0,False
2007-01-09,16,0,0,16,0,False,1,0,1,1,58,False,4,0,4,82,0,False,25,0,0,0,0,False,25,0,0,25,0,False,18,28,37,0,0,False,11,0,0,0,27,False,20,0,20,20,0,False,16,0,0,0,32,False,16,0,0,0,0,False,16,0,0,0,0,False,25,0,0,0,0,False,5,0,0,48,0,False,16,0,16,0,0,False,16,0,0,0,0,False,16,0,0,0,0,False,12,37,0,12,12,False,16,0,0,0,0,False,4,14,0,0,False
2007-01-10,0,0,0,16,0,False,0,0,1,0,81,False,0,0,0,74,0,False,0,0,25,0,0,False,0,0,0,0,0,False,0,56,0,0,0,False,0,0,0,0,17,False,0,0,20,0,0,False,0,0,16,16,16,False,0,0,0,0,0,False,0,0,16,0,0,False,0,0,0,0,0,False,0,0,0,44,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,16,0,0,False,0,25,0,0,13,False,0,0,0,0,0,False,0,16,0,0,False
