date,ozone,blue,clothes,love,shoes,isPartial,ozone,air pollutant,air pollution alert,air pollution,arrhythmia,isPartial,ozone,asthma attack,asthma,black carbon,blue,isPartial,ozone,bronchiolitis,bronchitis,brown,brownish,isPartial,ozone,cardiovascular disease,chest pain,chest tightness,childhood asthma,isPartial,ozone,chronic obstructive pulmonary disease,code orange,code red,COPD,isPartial,ozone,cough,coughing,difficulty breathing,elemental carbon,isPartial,ozone,fine inhalable particles,fine particles,fine particulates,grey,isPartial,ozone,haze,headache,heart murmur,industrial pollution,isPartial,ozone,inhaler use,inhaler,irregular heartbeat,lung cancer,isPartial,ozone,lung disease,lung irritation,n02,nitrogen dioxide,isPartial,ozone,nitrogen oxides,no2,O3,organic carbon,isPartial,ozone,oxides of nitrogen,traffic emission,particle pollution,particulate matter pollution,isPartial,ozone,particulate matter,pediatric asthma,pink,pm2.5,isPartial,ozone,pm5,power plants,premature death,rapid breathing,isPartial,ozone,Rapid heart rate,rapid pulse,reddish-brown,respiratory illness,isPartial,ozone,respiratory infection,shortness of breath,smog,smoggy,isPartial,ozone,smoke,snoring,soot,sulfate,isPartial,ozone,tailpipe,throat irritation,traffic emission,traffic exposure,isPartial,ozone,traffic,wheezing,wildfires,isPartial
2007-01-01,3,74,12,71,31,False,49,0,0,0,0,False,2,0,0,0,75,False,7,0,0,74,0,False,58,0,0,0,0,False,52,0,0,0,0,False,28,28,0,0,0,False,0,0,0,0,43,False,31,31,62,0,0,False,40,0,80,0,40,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,8,0,0,59,0,False,63,0,0,0,0,False,63,0,0,0,0,False,63,0,0,0,0,False,19,19,0,0,0,False,0,0,0,0,0,False,4,13,0,0,False
2007-01-02,2,52,4,43,30,False,28,0,0,0,28,False,1,0,3,0,51,False,0,0,4,69,0,False,0,0,33,0,0,False,30,0,0,29,29,False,16,32,0,0,0,False,12,0,0,0,30,False,0,0,70,0,0,False,0,0,23,0,0,False,29,0,0,0,0,False,29,0,0,0,0,False,30,0,0,0,0,False,5,0,0,40,0,False,36,35,0,0,0,False,36,0,0,0,0,False,36,0,0,0,0,False,10,37,10,0,11,False,29,0,0,0,0,False,2,20,0,0,False
2007-01-03,0,70,8,55,35,False,0,0,0,27,0,False,0,0,1,0,71,False,0,0,0,90,0,False,0,0,32,0,0,False,0,0,0,0,28,False,0,31,15,0,0,False,0,0,0,0,23,False,0,17,42,17,0,False,0,0,22,0,22,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,43,0,False,0,34,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,51,10,0,10,False,0,0,0,0,0,False,0,21,0,0,False
2007-01-04,3,81,13,51,31,False,53,0,0,0,0,False,3,0,1,0,76,False,7,0,0,62,0,False,63,0,47,0,0,False,56,0,0,0,28,False,30,15,15,0,0,False,0,0,0,0,46,False,33,17,17,17,0,False,43,0,0,22,32,False,0,0,0,0,0,False,0,0,28,0,0,False,0,0,0,0,0,False,9,0,0,45,0,False,67,0,0,0,0,False,67,0,0,0,0,False,67,0,0,34,0,False,20,35,0,0,20,False,0,0,0,0,0,False,5,22,0,0,False
2007-01-05,1,96,8,56,36,False,40,0,0,0,0,False,2,0,2,0,80,False,4,0,0,76,0,False,32,0,32,0,0,False,38,0,0,57,29,False,23,15,0,0,0,False,17,0,0,0,52,False,17,0,17,0,0,False,22,0,22,0,22,False,43,0,0,0,0,False,43,0,0,0,0,False,43,0,0,0,0,False,5,0,0,46,0,False,35,0,0,0,0,False,35,0,0,0,0,False,35,0,0,0,0,False,15,20,21,0,0,False,43,0,0,0,0,False,4,28,0,0,False
2007-01-06,0,82,10,46,56,False,0,0,0,0,0,False,0,0,4,0,78,False,0,5,5,67,0,False,0,0,46,0,0,False,0,0,0,40,41,False,0,0,22,0,0,False,0,0,0,0,58,False,0,36,0,0,0,False,0,0,0,0,31,False,0,41,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,46,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,15,0,0,0,False,0,0,0,0,0,False,0,9,0,0,False
2007-01-07,0,75,10,77,37,False,0,0,0,40,0,False,0,0,4,0,52,False,0,0,5,69,0,False,0,0,0,0,0,False,0,0,42,0,0,False,0,23,23,0,0,False,0,0,0,0,17,False,0,37,50,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,42,0,False,0,0,0,0,0,False,0,0,0,57,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,15,0,0,0,False,0,0,0,0,0,False,0,11,0,0,False
2007-01-08,2,73,6,69,28,False,26,0,0,0,0,False,1,0,4,0,60,False,5,3,0,73,0,False,46,0,46,0,0,False,42,0,0,0,0,False,15,15,0,0,0,False,22,0,0,0,39,False,25,0,49,0,0,False,32,0,0,21,63,False,55,0,0,0,0,False,55,0,0,0,0,False,57,0,0,0,0,False,7,0,0,51,0,False,51,0,0,0,0,False,51,0,0,0,0,False,51,33,0,0,0,False,10,39,15,0,0,False,55,0,0,0,0,False,2,15,0,0,False
2007-01-09,4,68,17,57,24,False,51,0,0,0,0,False,2,1,1,0,69,False,8,0,3,61,0,False,75,0,0,0,0,False,53,0,0,27,0,False,29,36,0,0,0,False,16,0,0,0,65,False,40,16,47,16,0,False,51,0,20,41,31,False,40,0,0,0,0,False,40,0,27,0,0,False,27,0,0,0,0,False,13,0,0,36,0,False,96,0,32,0,0,False,96,0,0,0,0,False,96,0,0,32,0,False,19,38,14,0,10,False,40,0,0,0,0,False,5,18,0,0,False
2007-01-10,1,64,8,65,30,False,26,0,0,0,0,False,1,0,2,0,70,False,3,0,0,84,0,False,30,0,30,0,0,False,28,0,0,0,0,False,15,15,0,0,0,False,11,0,0,0,38,False,16,0,40,0,0,False,21,0,0,0,0,False,27,0,0,0,0,False,27,0,80,0,0,False,28,0,0,0,0,False,4,0,0,57,0,False,33,0,33,0,0,False,33,0,0,0,0,False,33,0,0,0,0,False,10,34,0,0,10,False,27,0,0,0,0,False,2,22,0,0,False
