date,ozone,blue,clothes,love,shoes,isPartial,ozone,air pollutant,air pollution alert,air pollution,arrhythmia,isPartial,ozone,asthma attack,asthma,black carbon,blue,isPartial,ozone,bronchiolitis,bronchitis,brown,brownish,isPartial,ozone,cardiovascular disease,chest pain,chest tightness,childhood asthma,isPartial,ozone,chronic obstructive pulmonary disease,code orange,code red,COPD,isPartial,ozone,cough,coughing,difficulty breathing,elemental carbon,isPartial,ozone,fine inhalable particles,fine particles,fine particulates,grey,isPartial,ozone,haze,headache,heart murmur,industrial pollution,isPartial,ozone,inhaler use,inhaler,irregular heartbeat,lung cancer,isPartial,ozone,lung disease,lung irritation,n02,nitrogen dioxide,isPartial,ozone,nitrogen oxides,no2,O3,organic carbon,isPartial,ozone,oxides of nitrogen,traffic emission,particle pollution,particulate matter pollution,isPartial,ozone,particulate matter,pediatric asthma,pink,pm2.5,isPartial,ozone,pm5,power plants,premature death,rapid breathing,isPartial,ozone,Rapid heart rate,rapid pulse,reddish-brown,respiratory illness,isPartial,ozone,respiratory infection,shortness of breath,smog,smoggy,isPartial,ozone,smoke,snoring,soot,sulfate,isPartial,ozone,tailpipe,throat irritation,traffic emission,traffic exposure,isPartial,ozone,traffic,wheezing,wildfires,isPartial
2007-01-01,0,54,12,61,27,False,0,0,0,0,0,False,0,0,0,0,57,False,0,0,0,72,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,95,0,0,0,False,0,0,0,0,62,False,0,0,47,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,44,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,52,0,0,0,False,0,0,0,0,0,False,0,10,0,0,False
2007-01-02,0,70,7,47,23,False,0,0,0,0,0,False,0,0,2,0,56,False,0,0,0,54,6,False,0,0,39,0,0,False,0,0,0,0,0,False,0,0,27,0,0,False,0,0,0,0,17,False,0,0,26,0,0,False,0,0,0,0,33,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,40,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,57,19,0,0,False,0,0,0,0,0,False,0,11,6,0,False
2007-01-03,0,74,11,43,30,False,0,0,0,0,0,False,2,0,3,0,59,False,6,0,6,72,0,False,36,0,36,0,0,False,0,0,0,0,0,False,0,25,0,25,0,False,16,0,0,0,49,False,0,0,25,0,0,False,0,0,0,0,30,False,41,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,46,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,18,54,0,0,0,False,0,0,0,0,0,False,0,21,0,0,False
2007-01-04,0,52,4,50,28,False,0,0,0,0,0,False,0,0,0,0,46,False,0,0,6,48,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,72,0,0,0,False,0,0,0,0,32,False,0,0,70,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,37,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,44,0,0,18,False,0,0,0,0,0,False,0,23,0,0,False
2007-01-05,0,63,18,53,25,False,0,0,0,0,0,False,0,0,4,0,58,False,0,6,0,45,0,False,0,0,0,0,0,False,0,0,36,0,0,False,0,25,25,0,0,False,0,0,0,0,32,False,0,0,25,0,0,False,0,0,31,0,92,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,38,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,37,0,0,False,0,36,18,0,0,False,0,35,0,0,0,False,0,18,0,0,False
2007-01-06,4,78,8,58,29,False,0,0,0,0,0,False,0,0,3,0,58,False,0,0,9,70,0,False,0,0,55,0,0,False,56,0,0,56,0,False,39,0,0,0,0,False,0,0,0,0,25,False,38,0,37,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,62,0,0,0,0,False,62,0,0,0,0,False,12,0,0,23,0,False,54,0,0,0,0,False,54,0,0,0,0,False,56,56,0,0,0,False,0,54,0,0,0,False,0,0,0,0,0,False,8,8,0,0,False
2007-01-07,0,52,12,50,34,False,0,0,0,58,0,False,4,0,4,0,54,False,9,0,0,47,0,False,59,0,0,0,0,False,0,0,0,59,59,False,0,0,41,0,0,False,26,0,0,0,80,False,0,0,0,0,0,False,0,0,0,50,100,False,68,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,87,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,29,58,0,0,0,False,0,0,0,0,0,False,0,9,0,0,False
2007-01-08,5,68,11,52,26,False,51,0,0,0,0,False,3,0,2,0,64,False,11,0,0,70,0,False,71,0,35,0,0,False,71,0,0,0,0,False,24,0,0,0,0,False,32,0,0,0,16,False,48,48,48,0,0,False,45,0,0,30,0,False,81,0,0,0,0,False,79,0,0,0,0,False,79,0,0,0,0,False,15,0,0,48,0,False,34,0,34,0,0,False,34,0,0,0,0,False,36,0,0,0,0,False,17,70,17,0,0,False,34,0,0,0,0,False,5,8,0,0,False
2007-01-09,0,60,18,54,23,False,33,0,0,0,0,False,2,0,2,0,59,False,0,0,5,57,0,False,0,0,34,0,0,False,0,0,0,34,0,False,23,48,0,0,0,False,0,0,0,0,46,False,0,0,24,0,0,False,29,0,0,0,58,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,51,0,False,33,0,0,0,0,False,33,0,0,0,0,False,0,0,0,0,0,False,0,17,0,0,0,False,33,0,0,0,0,False,5,31,0,0,False
2007-01-10,0,53,9,38,26,False,0,0,0,0,0,False,2,0,2,2,60,False,5,0,5,63,0,False,35,34,35,0,0,False,0,0,0,35,0,False,0,71,0,0,0,False,16,0,0,0,23,False,0,0,0,0,0,False,0,0,29,0,43,False,40,0,0,0,0,False,0,0,0,39,0,False,0,0,0,0,0,False,0,0,0,25,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,17,17,17,0,0,False,0,0,0,0,0,False,0,30,0,0,False
