date,ozone,blue,clothes,love,shoes,isPartial,ozone,air pollutant,air pollution alert,air pollution,arrhythmia,isPartial,ozone,asthma attack,asthma,black carbon,blue,isPartial,ozone,bronchiolitis,bronchitis,brown,brownish,isPartial,ozone,cardiovascular disease,chest pain,chest tightness,childhood asthma,isPartial,ozone,chronic obstructive pulmonary disease,code orange,code red,COPD,isPartial,ozone,cough,coughing,difficulty breathing,elemental carbon,isPartial,ozone,fine inhalable particles,fine particles,fine particulates,grey,isPartial,ozone,haze,headache,heart murmur,industrial pollution,isPartial,ozone,inhaler use,inhaler,irregular heartbeat,lung cancer,isPartial,ozone,lung disease,lung irritation,n02,nitrogen dioxide,isPartial,ozone,nitrogen oxides,no2,O3,organic carbon,isPartial,ozone,oxides of nitrogen,traffic emission,particle pollution,particulate matter pollution,isPartial,ozone,particulate matter,pediatric asthma,pink,pm2.5,isPartial,ozone,pm5,power plants,premature death,rapid breathing,isPartial,ozone,Rapid heart rate,rapid pulse,reddish-brown,respiratory illness,isPartial,ozone,respiratory infection,shortness of breath,smog,smoggy,isPartial,ozone,smoke,snoring,soot,sulfate,isPartial,ozone,tailpipe,throat irritation,traffic emission,traffic exposure,isPartial,ozone,traffic,wheezing,wildfires,isPartial
2007-01-01,0,41,10,51,24,False,0,0,0,0,0,False,0,0,0,0,53,False,0,0,0,33,0,False,0,0,52,0,0,False,0,0,0,0,0,False,0,44,44,0,0,False,0,0,0,0,54,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,55,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,100,0,0,0,False,0,0,0,0,0,False,0,16,0,0,False
2007-01-02,3,46,3,46,28,False,27,0,0,0,0,False,4,0,0,0,59,False,7,0,7,53,0,False,31,0,0,0,0,False,31,0,0,0,0,False,0,27,0,0,0,False,16,0,0,0,33,False,27,27,27,0,0,False,27,0,0,27,0,False,31,0,0,0,0,False,31,0,0,0,0,False,0,0,0,0,0,False,9,0,0,62,0,False,0,0,0,0,0,False,27,0,0,0,0,False,32,0,0,0,0,False,0,18,0,0,0,False,27,0,0,0,0,False,5,19,0,0,False
2007-01-03,3,48,7,41,20,False,26,0,0,0,0,False,3,0,3,0,55,False,6,0,0,26,0,False,0,0,0,0,0,False,0,0,0,0,0,False,26,26,0,0,0,False,16,0,0,0,16,False,26,0,52,0,0,False,26,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,26,0,0,0,0,False,0,0,0,36,0,False,26,0,0,0,0,False,26,0,0,0,0,False,0,0,0,31,0,False,12,23,0,0,0,False,26,0,0,0,0,False,5,21,0,0,False
2007-01-04,0,43,6,37,34,False,0,0,0,0,0,False,0,0,0,0,52,False,0,0,0,83,0,False,0,0,0,0,0,False,0,0,0,0,30,False,0,52,0,0,0,False,0,0,0,0,0,False,0,0,26,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,36,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,24,0,0,0,False,0,0,0,0,0,False,0,26,0,0,False
2007-01-05,0,34,11,49,16,False,0,0,0,0,0,False,0,0,7,0,46,False,0,0,6,68,0,False,0,0,31,0,0,False,0,0,0,31,0,False,0,26,0,0,0,False,0,0,0,0,16,False,0,0,0,0,0,False,0,0,0,0,26,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,37,0,False,0,0,26,0,0,False,0,0,0,0,0,False,0,0,0,32,0,False,0,18,0,0,0,False,0,0,0,0,0,False,0,12,0,0,False
2007-01-06,0,30,10,56,44,False,0,0,0,0,0,False,5,0,0,0,41,False,0,0,0,94,0,False,42,0,0,0,0,False,42,0,0,42,0,False,0,37,37,0,0,False,0,0,0,0,0,False,0,37,0,0,0,False,0,0,0,0,37,False,42,0,0,0,0,False,42,0,0,0,0,False,0,0,0,0,0,False,13,0,0,38,0,False,0,0,0,0,0,False,36,0,0,0,0,False,43,0,0,0,0,False,0,16,0,0,0,False,36,0,0,0,0,False,6,13,0,0,False
2007-01-07,0,39,14,49,22,False,0,0,0,0,0,False,0,0,0,0,65,False,0,0,0,74,0,False,0,0,44,0,0,False,0,0,0,0,0,False,0,75,0,0,0,False,0,0,0,0,45,False,0,0,0,0,0,False,0,0,37,0,37,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,86,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,25,0,0,17,False,0,0,0,0,0,False,0,7,0,0,False
2007-01-08,0,26,10,56,31,False,0,0,0,0,0,False,0,0,3,0,46,False,0,0,0,31,0,False,0,29,30,0,0,False,0,0,0,30,0,False,0,0,0,0,0,False,0,0,0,0,23,False,0,0,26,26,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,54,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,12,12,0,0,False,0,0,0,0,0,False,0,16,0,0,False
2007-01-09,0,39,15,33,23,False,0,0,0,0,0,False,0,0,3,0,43,False,0,0,6,47,0,False,0,0,29,0,0,False,0,0,0,0,0,False,0,25,0,0,0,False,0,0,0,0,15,False,0,0,25,0,0,False,0,0,0,0,0,False,0,29,0,0,0,False,0,0,30,0,0,False,0,0,0,0,0,False,0,0,0,39,0,False,0,0,25,0,0,False,0,0,0,0,0,False,0,0,0,29,0,False,0,34,0,0,0,False,0,0,0,0,0,False,0,16,0,0,False
2007-01-10,0,43,14,32,23,False,0,0,0,0,25,False,0,0,0,0,59,False,0,6,0,50,0,False,0,0,29,0,0,False,0,0,0,0,29,False,0,0,25,25,0,False,0,0,0,0,30,False,0,0,25,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,29,0,False,0,0,0,0,0,False,0,0,0,40,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,11,0,0,12,False,0,0,0,0,0,False,0,14,0,0,False
2007-01-11,0,49,6,56,29,False,0,0,0,0,0,False,0,0,3,0,58,False,0,0,0,36,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,52,0,0,0,False,0,0,0,0,16,False,0,0,26,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,36,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,24,0,0,12,False,0,0,0,0,0,False,0,14,0,0,False
2007-01-12,0,50,9,63,23,False,0,0,0,0,0,False,0,0,0,4,49,False,0,0,0,53,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,52,0,0,0,False,0,0,0,0,24,False,0,26,0,0,0,False,0,0,0,0,27,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,37,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,12,0,0,12,False,0,0,0,0,0,False,0,17,0,0,False
2007-01-13,8,54,8,54,18,False,72,0,0,0,0,False,5,0,0,0,67,False,18,0,0,40,0,False,42,0,0,0,0,False,42,0,0,0,0,False,0,36,36,0,0,False,44,0,0,0,22,False,72,0,0,0,0,False,72,0,0,0,0,False,42,0,0,0,0,False,42,0,0,0,0,False,0,0,0,0,0,False,13,0,0,69,0,False,0,0,35,0,0,False,36,0,0,0,0,False,64,43,0,43,0,False,0,16,0,0,16,False,36,0,0,0,0,False,6,7,0,0,False
2007-01-14,0,38,14,54,34,False,0,0,0,0,0,False,0,0,0,0,63,False,0,0,9,67,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,43,False,0,0,71,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,38,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,17,0,0,17,False,0,0,0,0,0,False,0,16,0,0,False
2007-01-15,0,43,15,58,27,False,0,0,0,0,0,False,0,0,0,0,58,False,0,0,0,40,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,15,False,0,49,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,66,0,False,0,0,25,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,11,0,0,0,False,0,0,0,0,0,False,0,54,0,0,False
