date,ozone,blue,clothes,love,shoes,isPartial,ozone,air pollutant,air pollution alert,air pollution,arrhythmia,isPartial,ozone,asthma attack,asthma,black carbon,blue,isPartial,ozone,bronchiolitis,bronchitis,brown,brownish,isPartial,ozone,cardiovascular disease,chest pain,chest tightness,childhood asthma,isPartial,ozone,chronic obstructive pulmonary disease,code orange,code red,COPD,isPartial,ozone,cough,coughing,difficulty breathing,elemental carbon,isPartial,ozone,fine inhalable particles,fine particles,fine particulates,grey,isPartial,ozone,haze,headache,heart murmur,industrial pollution,isPartial,ozone,inhaler use,inhaler,irregular heartbeat,lung cancer,isPartial,ozone,lung disease,lung irritation,n02,nitrogen dioxide,isPartial,ozone,nitrogen oxides,no2,O3,organic carbon,isPartial,ozone,oxides of nitrogen,traffic emission,particle pollution,particulate matter pollution,isPartial,ozone,particulate matter,pediatric asthma,pink,pm2.5,isPartial,ozone,pm5,power plants,premature death,rapid breathing,isPartial,ozone,Rapid heart rate,rapid pulse,reddish-brown,respiratory illness,isPartial,ozone,respiratory infection,shortness of breath,smog,smoggy,isPartial,ozone,smoke,snoring,soot,sulfate,isPartial,ozone,tailpipe,throat irritation,traffic emission,traffic exposure,isPartial,ozone,traffic,wheezing,wildfires,isPartial
2007-01-01,2,71,12,76,38,False,30,0,0,0,0,False,2,0,0,0,67,False,5,0,0,78,0,False,48,0,0,0,0,False,30,0,0,30,30,False,29,44,0,30,0,False,16,0,0,0,87,False,30,31,31,0,0,False,36,0,36,0,36,False,30,0,0,0,0,False,30,0,0,0,0,False,30,0,0,0,0,False,6,0,0,51,0,False,30,0,0,0,0,False,50,0,0,0,0,False,20,0,0,0,0,False,19,29,0,0,38,False,30,0,0,0,0,False,3,42,0,0,False
2007-01-02,2,79,8,55,40,False,0,0,0,0,0,False,0,0,1,0,79,False,0,0,3,87,0,False,87,0,29,29,0,False,0,0,19,19,0,False,54,36,18,0,0,False,0,0,0,0,43,False,0,19,37,0,0,False,67,0,0,0,22,False,0,0,0,0,0,False,37,0,0,0,0,False,0,0,0,0,0,False,0,0,0,47,0,False,0,0,0,0,0,False,62,0,0,0,0,False,0,0,12,62,0,False,23,35,12,0,0,False,0,0,0,0,0,False,4,46,0,0,False
2007-01-03,1,73,13,59,34,False,17,0,0,17,0,False,1,0,2,0,71,False,3,0,3,68,0,False,27,0,53,0,0,False,17,0,17,17,0,False,0,49,33,0,0,False,9,0,0,0,22,False,17,0,25,0,0,False,20,0,0,0,20,False,17,17,0,0,0,False,17,0,0,17,0,False,17,0,0,0,0,False,4,0,0,55,0,False,17,0,17,0,0,False,28,0,0,0,0,False,11,0,11,40,0,False,11,27,11,21,11,False,17,0,0,0,0,False,0,23,0,0,False
2007-01-04,1,60,7,65,32,False,17,0,0,0,0,False,1,0,1,1,67,False,3,0,3,57,0,False,27,0,0,0,0,False,17,0,0,0,0,False,16,16,16,0,0,False,9,0,0,0,40,False,17,51,25,0,0,False,20,0,41,0,20,False,17,0,0,0,0,False,17,0,17,0,0,False,17,0,0,0,0,False,4,0,0,59,0,False,17,0,17,0,0,False,28,0,0,0,0,False,11,0,0,34,0,False,11,43,0,11,0,False,17,0,0,0,0,False,2,26,0,0,False
2007-01-05,1,77,7,71,34,False,17,0,0,0,0,False,1,0,0,0,90,False,3,0,0,64,0,False,27,0,0,0,0,False,17,0,17,0,0,False,0,49,16,0,0,False,9,0,0,0,31,False,17,17,26,0,0,False,20,0,0,0,20,False,17,0,0,0,17,False,17,0,0,17,0,False,17,0,0,0,0,False,4,0,0,61,0,False,17,0,0,0,0,False,28,0,0,0,0,False,11,0,0,34,0,False,11,37,0,11,11,False,17,0,0,0,0,False,2,43,0,0,False
2007-01-06,0,75,11,67,28,False,23,0,0,0,0,False,2,0,2,0,82,False,4,0,0,54,0,False,0,36,0,0,0,False,23,0,0,0,0,False,22,22,0,0,0,False,12,0,0,0,42,False,23,58,23,0,0,False,0,0,0,0,28,False,23,23,0,0,0,False,23,0,0,0,0,False,23,0,0,0,0,False,5,0,0,44,0,False,23,0,0,0,0,False,0,0,0,0,0,False,16,0,0,23,0,False,0,37,15,15,15,False,23,23,0,0,0,False,2,37,0,0,False
2007-01-07,0,70,9,72,38,False,0,0,0,0,24,False,0,0,2,0,82,False,0,0,0,59,0,False,0,0,39,0,0,False,0,0,0,0,24,False,0,0,0,0,0,False,0,0,0,0,76,False,0,25,50,0,0,False,0,0,0,0,30,False,0,25,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,44,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,100,0,False,0,55,0,16,0,False,0,25,0,0,0,False,0,30,0,0,False
2007-01-08,1,72,9,63,40,False,17,0,0,0,0,False,1,0,1,0,81,False,3,0,3,62,0,False,27,0,27,0,0,False,17,0,17,17,0,False,0,33,33,0,0,False,9,0,0,0,22,False,17,61,0,0,0,False,21,0,0,0,21,False,17,0,0,0,0,False,17,0,0,0,0,False,17,0,0,0,0,False,4,0,0,71,0,False,17,0,0,0,0,False,29,0,0,0,0,False,12,0,12,41,0,False,11,55,0,0,0,False,17,0,0,0,0,False,0,15,0,0,False
2007-01-09,2,62,11,67,25,False,32,0,0,16,0,False,2,0,1,0,68,False,5,0,5,61,0,False,63,0,25,0,0,False,32,0,16,0,0,False,39,47,15,0,0,False,17,0,0,0,29,False,32,24,32,16,0,False,49,0,0,0,20,False,32,0,0,0,0,False,32,0,0,16,0,False,32,0,0,0,0,False,7,0,0,69,0,False,32,0,16,0,0,False,54,0,0,0,0,False,22,11,0,11,0,False,20,46,10,0,30,False,32,0,0,0,0,False,3,27,2,0,False
2007-01-10,2,66,8,67,28,False,32,0,0,24,0,False,2,0,2,0,70,False,5,0,3,66,0,False,50,0,0,0,0,False,32,0,16,0,16,False,0,31,15,0,0,False,17,0,0,0,33,False,32,16,24,0,0,False,39,0,0,0,19,False,32,0,0,0,16,False,32,0,0,0,0,False,32,0,0,0,0,False,7,0,0,74,0,False,32,0,16,0,0,False,54,0,0,0,0,False,22,0,0,32,0,False,20,50,20,0,10,False,32,0,0,0,0,False,0,20,0,0,False
2007-01-11,1,62,14,55,33,False,32,0,0,0,0,False,2,0,3,0,71,False,5,0,3,59,0,False,50,0,25,0,0,False,32,0,16,0,0,False,0,16,0,0,0,False,17,0,0,0,37,False,32,32,16,0,0,False,39,0,0,0,29,False,32,0,0,0,0,False,24,0,0,0,0,False,32,0,0,0,0,False,7,0,0,64,0,False,32,0,0,0,0,False,40,0,0,0,0,False,22,0,0,27,0,False,15,41,0,0,10,False,32,0,0,0,0,False,2,26,0,0,False
2007-01-12,1,60,11,69,33,False,33,0,0,0,0,False,2,0,2,0,68,False,5,0,3,65,0,False,26,0,25,0,0,False,33,0,0,0,0,False,32,16,16,0,0,False,17,0,0,0,47,False,33,16,16,0,0,False,20,0,0,0,39,False,33,0,0,0,0,False,27,0,0,0,0,False,33,0,0,0,0,False,7,0,0,67,0,False,33,0,0,0,0,False,27,0,0,0,0,False,22,11,0,11,0,False,10,47,21,11,16,False,33,0,0,0,0,False,3,40,0,0,False
