date,ozone,blue,clothes,love,shoes,isPartial,ozone,air pollutant,air pollution alert,air pollution,arrhythmia,isPartial,ozone,asthma attack,asthma,black carbon,blue,isPartial,ozone,bronchiolitis,bronchitis,brown,brownish,isPartial,ozone,cardiovascular disease,chest pain,chest tightness,childhood asthma,isPartial,ozone,chronic obstructive pulmonary disease,code orange,code red,COPD,isPartial,ozone,cough,coughing,difficulty breathing,elemental carbon,isPartial,ozone,fine inhalable particles,fine particles,fine particulates,grey,isPartial,ozone,haze,headache,heart murmur,industrial pollution,isPartial,ozone,inhaler use,inhaler,irregular heartbeat,lung cancer,isPartial,ozone,lung disease,lung irritation,n02,nitrogen dioxide,isPartial,ozone,nitrogen oxides,no2,O3,organic carbon,isPartial,ozone,oxides of nitrogen,traffic emission,particle pollution,particulate matter pollution,isPartial,ozone,particulate matter,pediatric asthma,pink,pm2.5,isPartial,ozone,pm5,power plants,premature death,rapid breathing,isPartial,ozone,Rapid heart rate,rapid pulse,reddish-brown,respiratory illness,isPartial,ozone,respiratory infection,shortness of breath,smog,smoggy,isPartial,ozone,smoke,snoring,soot,sulfate,isPartial,ozone,tailpipe,throat irritation,traffic emission,traffic exposure,isPartial,ozone,traffic,wheezing,wildfires,isPartial
2007-01-01,7,62,7,51,37,False,98,0,0,0,0,False,8,0,8,0,55,False,17,0,0,68,0,False,97,0,0,0,0,False,0,0,0,0,60,False,51,0,0,0,0,False,44,0,0,0,85,False,68,0,0,0,0,False,61,0,0,0,0,False,62,0,0,0,0,False,62,0,0,0,0,False,0,0,0,0,0,False,0,0,0,67,0,False,98,0,0,0,0,False,98,0,0,0,0,False,98,0,0,0,0,False,35,0,0,0,0,False,98,0,0,0,0,False,0,22,0,0,False
2007-01-02,0,65,16,53,31,False,0,0,0,0,0,False,0,0,0,0,55,False,0,0,0,78,0,False,0,0,54,0,0,False,0,0,0,0,0,False,0,29,0,0,0,False,0,0,0,0,0,False,0,38,38,0,0,False,0,0,34,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,56,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,56,0,0,0,False,0,44,0,0,False
2007-01-03,0,65,9,51,37,False,0,0,0,0,52,False,0,0,4,0,77,False,0,0,9,55,0,False,0,0,0,0,0,False,0,0,34,0,0,False,0,0,0,0,0,False,0,0,0,0,24,False,0,36,36,0,0,False,0,0,32,0,32,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,32,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,19,0,0,False,0,0,0,0,0,False,0,54,0,0,False
2007-01-04,4,55,10,81,29,False,53,0,0,0,0,False,0,0,0,0,66,False,9,0,0,56,0,False,0,0,0,0,0,False,34,0,0,0,0,False,28,55,0,0,0,False,0,0,0,0,24,False,37,0,0,0,0,False,33,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,34,0,0,0,0,False,11,0,0,44,0,False,54,0,0,0,0,False,0,0,0,0,0,False,54,0,0,0,0,False,0,19,20,0,0,False,54,0,0,0,0,False,12,43,0,0,False
2007-01-05,0,58,11,73,37,False,0,0,0,55,0,False,0,0,4,0,40,False,0,0,0,68,0,False,0,54,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,49,False,0,38,0,0,0,False,0,0,0,0,34,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,44,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,19,0,0,0,False,0,0,0,0,0,False,0,56,0,0,False
2007-01-06,5,88,15,69,38,False,75,0,0,0,0,False,6,0,0,0,93,False,13,0,0,46,0,False,75,0,0,0,0,False,0,0,0,0,0,False,39,0,0,0,0,False,34,0,0,0,68,False,52,0,0,0,0,False,47,0,0,0,0,False,47,0,0,0,0,False,47,0,0,0,0,False,0,0,0,0,0,False,0,0,0,31,0,False,75,0,0,0,0,False,75,0,0,0,0,False,75,0,0,0,0,False,27,0,0,0,0,False,75,0,0,0,0,False,0,88,0,0,False
2007-01-07,0,75,17,41,32,False,0,0,0,0,0,False,0,0,0,0,51,False,0,0,0,48,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,41,0,0,0,False,0,0,0,0,70,False,0,0,53,0,0,False,0,0,0,0,48,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,32,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,28,0,0,0,False,0,0,0,0,0,False,0,27,0,0,False
2007-01-08,0,55,9,61,29,False,0,0,0,0,0,False,0,0,4,0,75,False,0,0,0,46,0,False,0,0,0,0,0,False,0,0,0,0,33,False,0,0,28,0,0,False,0,0,0,0,47,False,0,0,36,36,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,31,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,19,18,0,0,False,0,0,0,0,0,False,0,24,0,0,False
2007-01-09,0,87,10,51,26,False,0,0,0,52,0,False,0,0,0,0,88,False,0,9,0,45,0,False,0,0,0,0,0,False,0,0,33,0,33,False,0,27,0,0,0,False,0,0,0,0,0,False,0,0,36,35,0,False,0,0,0,31,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,47,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,37,0,0,0,False,0,0,0,0,0,False,0,24,0,0,False
2007-01-10,4,67,9,60,19,False,52,0,0,52,0,False,4,0,0,0,74,False,9,0,0,63,0,False,52,0,0,0,0,False,0,0,0,0,0,False,27,0,27,0,0,False,24,0,0,0,71,False,36,0,35,0,0,False,32,0,0,0,0,False,33,0,0,0,0,False,33,0,0,0,0,False,0,0,0,0,0,False,0,0,0,36,0,False,52,0,0,0,0,False,52,0,0,0,0,False,52,0,0,0,0,False,18,28,0,0,19,False,52,0,0,0,0,False,0,29,0,0,False
