date,ozone,blue,clothes,love,shoes,isPartial,ozone,air pollutant,air pollution alert,air pollution,arrhythmia,isPartial,ozone,asthma attack,asthma,black carbon,blue,isPartial,ozone,bronchiolitis,bronchitis,brown,brownish,isPartial,ozone,cardiovascular disease,chest pain,chest tightness,childhood asthma,isPartial,ozone,chronic obstructive pulmonary disease,code orange,code red,COPD,isPartial,ozone,cough,coughing,difficulty breathing,elemental carbon,isPartial,ozone,fine inhalable particles,fine particles,fine particulates,grey,isPartial,ozone,haze,headache,heart murmur,industrial pollution,isPartial,ozone,inhaler use,inhaler,irregular heartbeat,lung cancer,isPartial,ozone,lung disease,lung irritation,n02,nitrogen dioxide,isPartial,ozone,nitrogen oxides,no2,O3,organic carbon,isPartial,ozone,oxides of nitrogen,traffic emission,particle pollution,particulate matter pollution,isPartial,ozone,particulate matter,pediatric asthma,pink,pm2.5,isPartial,ozone,pm5,power plants,premature death,rapid breathing,isPartial,ozone,Rapid heart rate,rapid pulse,reddish-brown,respiratory illness,isPartial,ozone,respiratory infection,shortness of breath,smog,smoggy,isPartial,ozone,smoke,snoring,soot,sulfate,isPartial,ozone,tailpipe,throat irritation,traffic emission,traffic exposure,isPartial,ozone,traffic,wheezing,wildfires,isPartial
2007-01-01,1,67,7,54,24,False,41,0,0,28,0,False,2,0,3,0,84,False,4,0,3,81,0,False,41,0,0,0,0,False,41,0,0,28,28,False,30,30,30,0,0,False,12,0,0,0,31,False,47,47,31,0,0,False,40,0,0,0,0,False,30,0,0,0,0,False,41,0,0,0,0,False,42,0,0,0,0,False,6,0,0,64,0,False,30,0,0,0,0,False,28,0,0,0,0,False,47,0,31,0,0,False,17,33,11,0,0,False,30,0,0,0,0,False,3,26,0,0,False
2007-01-02,1,68,11,53,25,False,33,0,0,16,0,False,1,0,2,0,89,False,4,0,7,89,0,False,33,0,16,0,0,False,33,0,16,0,16,False,26,79,18,0,0,False,9,0,0,0,45,False,46,28,37,18,0,False,32,0,16,0,16,False,26,17,0,0,0,False,33,0,0,0,0,False,37,0,0,0,0,False,5,0,0,52,0,False,26,0,0,0,0,False,25,0,0,0,0,False,46,0,19,0,0,False,16,50,26,0,0,False,26,0,0,0,0,False,3,14,0,0,False
2007-01-03,1,64,9,52,30,False,48,0,0,16,16,False,2,0,3,0,78,False,7,0,4,82,0,False,48,0,32,0,0,False,48,0,16,0,0,False,43,69,34,0,0,False,13,0,0,0,42,False,63,36,45,0,0,False,47,0,0,0,39,False,43,0,0,0,0,False,48,0,0,0,0,False,54,0,0,0,0,False,7,0,0,57,0,False,43,0,0,17,0,False,32,0,0,0,0,False,63,0,0,0,0,False,23,29,6,0,6,False,43,0,0,0,0,False,3,14,0,0,False
2007-01-04,1,64,10,43,25,False,64,0,0,16,16,False,3,0,2,1,78,False,5,0,3,85,0,False,64,0,0,0,0,False,64,0,0,16,16,False,44,78,26,17,0,False,18,0,0,0,38,False,46,37,27,0,0,False,62,0,0,0,39,False,44,0,0,0,0,False,64,0,16,0,0,False,61,0,0,0,0,False,9,0,0,57,0,False,44,0,17,0,0,False,49,0,0,0,0,False,46,0,0,18,0,False,16,49,10,0,7,False,44,0,0,0,0,False,3,14,0,0,False
2007-01-05,2,74,10,57,33,False,100,0,0,17,0,False,5,0,3,0,83,False,7,0,4,69,0,False,100,16,0,0,0,False,100,0,0,17,0,False,54,54,18,0,0,False,28,0,0,0,58,False,85,19,28,19,0,False,98,0,0,0,40,False,54,0,0,0,0,False,100,0,0,0,0,False,76,0,0,0,0,False,15,0,0,49,0,False,54,0,0,0,0,False,34,0,0,0,0,False,85,0,0,19,0,False,31,61,0,0,7,False,54,0,0,0,0,False,5,15,0,0,False
2007-01-06,2,56,12,62,42,False,37,0,0,0,0,False,2,0,0,0,67,False,3,3,4,76,0,False,37,0,49,0,0,False,37,0,25,25,0,False,53,26,27,0,0,False,10,0,0,0,27,False,28,84,70,0,0,False,36,0,24,0,24,False,53,0,0,0,0,False,37,0,0,0,0,False,42,0,0,0,0,False,5,0,0,59,0,False,53,0,0,0,0,False,50,0,0,0,0,False,28,0,0,0,0,False,10,25,10,0,0,False,53,0,0,0,0,False,2,9,3,0,False
2007-01-07,2,72,14,78,41,False,48,0,0,24,0,False,2,0,2,1,87,False,4,0,3,74,0,False,48,0,24,0,0,False,48,0,48,0,47,False,52,65,26,0,0,False,13,0,0,0,40,False,55,41,82,0,0,False,47,0,23,0,58,False,52,0,0,0,0,False,48,0,0,0,0,False,45,0,0,0,0,False,7,0,0,92,0,False,52,0,0,0,0,False,36,0,0,0,0,False,55,0,27,0,0,False,20,24,10,0,15,False,52,0,0,0,0,False,3,14,0,0,False
2007-01-08,2,79,9,60,32,False,47,0,0,16,16,False,2,0,3,0,94,False,7,0,5,62,0,False,47,16,16,0,0,False,47,0,0,16,31,False,51,51,17,17,0,False,13,0,0,0,30,False,71,62,53,36,0,False,46,0,0,0,38,False,51,0,0,0,0,False,47,0,16,0,0,False,65,0,0,0,0,False,7,0,0,65,0,False,51,0,0,0,0,False,56,0,0,0,0,False,71,0,18,18,0,False,26,38,13,0,6,False,51,0,0,0,0,False,4,15,0,0,False
2007-01-09,1,62,10,57,24,False,46,0,0,23,15,False,2,0,1,1,76,False,3,2,5,66,0,False,46,15,15,0,0,False,46,0,0,16,31,False,42,59,17,0,0,False,13,0,0,0,61,False,36,53,35,18,0,False,45,0,15,0,23,False,42,0,0,0,0,False,46,0,0,0,0,False,44,0,0,0,0,False,7,0,0,66,0,False,42,0,0,0,0,False,40,0,0,0,0,False,36,18,0,18,0,False,13,32,10,0,6,False,42,0,0,0,0,False,2,13,1,2,False
2007-01-10,2,64,10,57,31,False,16,0,0,16,0,False,1,0,3,0,79,False,3,0,2,76,0,False,16,16,16,0,0,False,16,0,0,16,0,False,51,68,0,17,0,False,4,0,0,0,53,False,36,27,45,0,0,False,15,0,0,0,61,False,51,0,0,0,0,False,16,0,0,16,0,False,27,0,0,0,0,False,2,0,0,48,0,False,51,0,0,0,0,False,32,0,0,0,0,False,36,18,18,0,0,False,13,51,6,0,6,False,51,0,0,0,0,False,2,18,0,1,False
