date,ozone,air pollutant,air pollution alert,air pollution,arrhythmia,isPartial,ozone,asthma attack,asthma,black carbon,blue,isPartial,ozone,bronchiolitis,bronchitis,brown,brownish,isPartial,ozone,cardiovascular disease,chest pain,chest tightness,childhood asthma,isPartial,ozone,chronic obstructive pulmonary disease,code orange,code red,COPD,isPartial,ozone,cough,coughing,difficulty breathing,elemental carbon,isPartial,ozone,fine inhalable particles,fine particles,fine particulates,grey,isPartial,ozone,haze,headache,heart murmur,industrial pollution,isPartial,ozone,inhaler use,inhaler,irregular heartbeat,lung cancer,isPartial,ozone,lung disease,lung irritation,n02,nitrogen dioxide,isPartial,ozone,nitrogen oxides,no2,O3,organic carbon,isPartial,ozone,oxides of nitrogen,traffic emission,particle pollution,particulate matter pollution,isPartial,ozone,particulate matter,pediatric asthma,pink,pm2.5,isPartial,ozone,pm5,power plants,premature death,rapid breathing,isPartial,ozone,Rapid heart rate,rapid pulse,reddish-brown,respiratory illness,isPartial,ozone,respiratory infection,shortness of breath,smog,smoggy,isPartial,ozone,smoke,snoring,soot,sulfate,isPartial,ozone,tailpipe,throat irritation,traffic emission,traffic exposure,isPartial,ozone,traffic,wheezing,wildfires,isPartial
2007-01-01,0,0,0,0,0,False,0,0,0,0,68,False,0,0,0,81,6,False,0,0,0,0,0,False,0,0,0,0,0,False,0,41,0,0,0,False,0,0,0,0,28,False,0,41,41,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,68,0,False,0,0,42,0,0,False,0,0,0,0,0,False,0,0,0,41,0,False,0,44,0,0,0,False,0,0,0,0,0,False,0,14,0,0,False
2007-01-02,0,0,0,26,27,False,0,2,3,0,69,False,0,0,0,55,0,False,0,0,0,0,0,False,0,0,0,0,25,False,0,49,25,0,0,False,0,0,0,0,28,False,0,25,37,0,0,False,0,0,25,0,25,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,57,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,47,0,0,13,False,0,0,0,0,0,False,0,21,0,0,False
2007-01-03,39,0,0,0,0,False,3,0,2,0,86,False,4,0,12,68,0,False,37,0,25,0,0,False,25,0,0,25,25,False,25,0,0,0,0,False,11,0,0,0,38,False,25,0,50,0,0,False,25,0,25,0,74,False,25,25,0,0,0,False,27,0,0,0,0,False,25,0,0,0,0,False,5,0,0,48,0,False,25,0,0,0,0,False,25,0,0,0,0,False,25,0,0,0,0,False,13,47,13,13,0,False,25,0,0,0,0,False,3,14,0,0,False
2007-01-04,40,0,0,40,0,False,2,0,3,0,85,False,6,0,0,69,0,False,33,0,0,0,0,False,38,0,0,25,0,False,38,50,0,25,0,False,17,0,0,0,28,False,38,25,25,0,0,False,38,0,0,0,38,False,38,0,0,0,0,False,56,0,0,0,0,False,38,0,0,0,0,False,8,0,0,55,0,False,38,0,0,0,0,False,38,0,0,0,0,False,38,0,0,0,0,False,20,34,0,0,27,False,38,0,0,0,0,False,5,9,0,0,False
2007-01-05,27,0,0,0,0,False,2,0,2,0,79,False,0,0,4,81,0,False,26,0,25,0,0,False,0,0,0,0,25,False,0,25,0,0,0,False,0,0,0,0,34,False,0,25,25,0,25,False,0,0,0,0,51,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,38,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,27,0,0,14,False,0,0,0,0,0,False,0,14,0,0,False
2007-01-06,39,0,0,39,0,False,3,0,4,0,66,False,6,0,0,78,0,False,37,0,37,0,0,False,37,0,0,0,0,False,36,36,0,0,0,False,16,0,0,0,41,False,37,74,37,37,0,False,37,0,0,0,37,False,37,0,0,0,0,False,40,0,41,0,0,False,37,0,0,0,0,False,8,0,0,56,0,False,37,0,0,0,0,False,37,0,0,0,0,False,37,0,36,0,0,False,20,20,0,0,0,False,37,0,0,0,0,False,5,18,0,0,False
2007-01-07,0,0,0,0,0,False,0,0,5,0,65,False,0,0,6,67,0,False,0,0,0,0,0,False,0,0,38,0,0,False,0,74,0,0,0,False,0,0,0,0,17,False,0,37,0,38,0,False,0,0,0,0,37,False,0,38,0,0,0,False,80,0,0,0,0,False,0,0,0,0,0,False,0,0,0,77,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,81,0,0,0,False,0,0,0,0,0,False,0,15,0,0,False
2007-01-08,51,0,0,0,0,False,3,0,3,0,82,False,0,0,4,66,0,False,48,0,37,0,0,False,0,0,49,25,25,False,0,98,49,0,0,False,0,0,0,0,49,False,0,24,25,0,0,False,0,0,25,0,25,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,48,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,25,0,24,0,False,0,40,0,0,13,False,0,0,0,0,0,False,0,15,3,0,False
2007-01-09,25,0,0,25,0,False,2,0,4,2,71,False,0,0,8,72,0,False,24,0,0,0,0,False,0,0,0,0,48,False,0,72,0,0,0,False,0,0,0,0,27,False,0,24,36,0,0,False,0,0,0,0,24,False,0,24,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,45,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,24,0,0,False,0,26,0,0,26,False,0,0,0,0,0,False,0,13,0,0,False
2007-01-10,26,0,0,0,0,False,2,0,2,0,65,False,0,0,4,53,0,False,24,48,24,0,0,False,0,0,0,0,24,False,0,83,24,0,0,False,0,0,0,0,27,False,0,0,36,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,83,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,32,26,13,13,False,0,0,0,0,0,False,0,13,0,0,False
2007-01-11,27,0,0,0,0,False,2,0,2,0,74,False,4,0,4,55,0,False,25,0,25,0,0,False,25,25,0,0,25,False,25,0,25,0,0,False,11,0,0,0,28,False,25,25,50,25,0,False,25,0,0,0,38,False,25,25,0,0,0,False,28,0,0,0,0,False,25,0,0,0,0,False,5,0,0,44,0,False,25,0,0,0,0,False,25,0,0,0,0,False,25,0,0,25,0,False,13,20,14,0,0,False,25,0,0,0,0,False,3,24,0,0,False
2007-01-12,27,0,0,0,0,False,2,0,2,0,82,False,0,0,4,38,0,False,25,0,26,0,0,False,0,0,0,0,0,False,0,26,25,0,0,False,0,0,0,0,40,False,0,0,64,0,0,False,0,0,0,0,51,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,53,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,14,0,0,28,False,0,0,0,0,0,False,0,14,0,0,False
2007-01-13,0,0,0,0,0,False,0,0,2,0,70,False,0,6,6,60,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,73,0,0,0,False,0,0,0,0,32,False,0,0,73,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,41,0,0,False,0,0,0,0,0,False,0,0,0,55,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,40,0,0,19,False,0,0,0,0,0,False,0,10,0,0,False
