date,ozone,air pollutant,air pollution alert,air pollution,arrhythmia,isPartial,ozone,asthma attack,asthma,black carbon,blue,isPartial,ozone,bronchiolitis,bronchitis,brown,brownish,isPartial,ozone,cardiovascular disease,chest pain,chest tightness,childhood asthma,isPartial,ozone,chronic obstructive pulmonary disease,code orange,code red,COPD,isPartial,ozone,cough,coughing,difficulty breathing,elemental carbon,isPartial,ozone,fine inhalable particles,fine particles,fine particulates,grey,isPartial,ozone,haze,headache,heart murmur,industrial pollution,isPartial,ozone,inhaler use,inhaler,irregular heartbeat,lung cancer,isPartial,ozone,lung disease,lung irritation,n02,nitrogen dioxide,isPartial,ozone,nitrogen oxides,no2,O3,organic carbon,isPartial,ozone,oxides of nitrogen,traffic emission,particle pollution,particulate matter pollution,isPartial,ozone,particulate matter,pediatric asthma,pink,pm2.5,isPartial,ozone,pm5,power plants,premature death,rapid breathing,isPartial,ozone,Rapid heart rate,rapid pulse,reddish-brown,respiratory illness,isPartial,ozone,respiratory infection,shortness of breath,smog,smoggy,isPartial,ozone,smoke,snoring,soot,sulfate,isPartial,ozone,tailpipe,throat irritation,traffic emission,traffic exposure,isPartial,ozone,traffic,wheezing,wildfires,isPartial
2007-01-01,0,0,0,0,0,False,0,0,5,0,46,False,0,0,0,75,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,40,0,0,False,0,0,0,0,63,False,0,0,61,30,0,False,0,0,0,0,40,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,61,0,False,0,0,0,0,0,False,0,39,0,0,0,False,0,0,0,0,0,False,0,45,30,0,0,False,0,0,0,0,0,False,0,22,6,0,False
2007-01-02,23,0,0,35,0,False,0,0,1,0,58,False,4,0,0,92,0,False,23,0,0,0,0,False,23,0,0,0,0,False,23,23,23,0,0,False,11,0,0,0,21,False,0,0,0,18,0,False,23,0,0,23,69,False,23,0,0,0,0,False,23,0,23,0,0,False,23,0,0,0,0,False,4,0,0,24,0,False,23,0,23,0,0,False,23,0,0,0,0,False,23,23,0,0,0,False,18,80,0,0,18,False,23,0,0,0,0,False,4,22,0,0,False
2007-01-03,40,0,0,20,0,False,3,0,3,0,64,False,7,0,0,74,0,False,40,0,20,0,0,False,40,0,20,0,0,False,40,70,0,0,0,False,18,0,0,0,59,False,32,16,16,16,0,False,40,0,0,0,40,False,40,0,0,0,0,False,40,0,0,0,0,False,40,0,0,0,0,False,8,0,0,33,0,False,40,0,20,0,0,False,40,0,0,0,0,False,40,0,0,0,0,False,31,38,31,0,31,False,40,0,0,0,0,False,6,19,0,0,False
2007-01-04,20,0,0,61,20,False,1,0,2,0,55,False,3,0,0,63,0,False,20,0,0,0,0,False,20,0,20,20,20,False,20,59,20,0,0,False,9,0,0,0,27,False,16,15,31,0,0,False,20,0,0,20,0,False,20,0,0,0,0,False,20,0,0,20,0,False,20,0,0,0,0,False,4,0,0,31,0,False,20,0,0,0,0,False,20,0,0,0,0,False,20,0,0,0,0,False,15,38,15,0,0,False,20,0,0,0,0,False,3,30,0,0,False
2007-01-05,0,0,0,0,0,False,0,0,3,0,64,False,0,0,7,56,0,False,0,0,0,0,0,False,0,0,21,20,21,False,0,31,41,0,0,False,0,0,0,0,23,False,0,0,32,0,0,False,0,0,0,0,41,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,30,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,21,0,0,0,False,0,55,0,0,0,False,0,0,0,0,0,False,0,26,0,0,False
2007-01-06,0,0,0,69,0,False,0,0,2,2,57,False,0,0,6,53,0,False,0,0,35,0,0,False,0,0,0,34,0,False,0,0,0,0,0,False,0,0,0,0,31,False,0,27,27,0,0,False,0,0,34,0,34,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,49,0,False,0,0,0,0,34,False,0,0,0,0,0,False,0,0,0,0,0,False,0,39,26,0,0,False,0,0,0,0,0,False,0,30,5,0,False
2007-01-07,33,0,0,0,0,False,0,0,0,0,67,False,6,0,0,69,0,False,33,33,0,0,0,False,33,0,0,0,0,False,33,50,0,0,0,False,15,0,0,0,38,False,0,0,26,0,0,False,33,0,0,0,0,False,33,0,0,0,0,False,33,0,0,33,0,False,33,0,0,0,0,False,6,0,0,42,0,False,33,0,0,0,0,False,33,0,0,0,0,False,33,33,0,33,0,False,26,26,0,0,26,False,33,0,0,0,0,False,5,16,0,0,False
2007-01-08,0,0,0,0,0,False,0,0,4,0,59,False,0,0,0,66,0,False,0,0,19,0,0,False,0,0,0,0,0,False,0,19,19,0,0,False,0,0,0,0,17,False,0,15,15,15,0,False,0,0,0,0,38,False,0,0,0,0,0,False,0,0,0,19,0,False,0,0,0,0,0,False,0,0,0,30,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,15,15,0,15,False,0,0,0,0,0,False,0,22,0,0,False
2007-01-09,38,0,0,19,0,False,2,0,2,0,52,False,7,0,3,82,0,False,38,0,0,0,0,False,38,0,0,0,0,False,38,0,19,0,0,False,17,0,0,0,30,False,30,30,15,0,0,False,38,0,19,0,57,False,38,0,0,0,0,False,38,0,0,0,0,False,38,0,0,0,0,False,7,0,0,51,0,False,38,0,19,0,0,False,38,0,0,0,0,False,38,0,19,0,0,False,29,29,0,0,0,False,38,0,0,0,0,False,6,34,0,3,False
2007-01-10,39,0,0,0,0,False,0,0,1,0,69,False,7,0,5,65,0,False,39,0,0,0,0,False,39,0,0,20,39,False,39,29,0,0,0,False,18,0,0,0,22,False,0,15,15,0,0,False,39,0,0,0,20,False,39,0,0,0,0,False,39,0,19,0,19,False,39,0,0,0,0,False,8,0,0,28,4,False,39,0,0,0,0,False,39,0,0,0,0,False,39,0,0,0,0,False,30,52,15,0,15,False,39,0,0,0,0,False,6,28,0,0,False
