date,ozone,air pollutant,air pollution alert,air pollution,arrhythmia,isPartial,ozone,asthma attack,asthma,black carbon,blue,isPartial,ozone,bronchiolitis,bronchitis,brown,brownish,isPartial,ozone,cardiovascular disease,chest pain,chest tightness,childhood asthma,isPartial,ozone,chronic obstructive pulmonary disease,code orange,code red,COPD,isPartial,ozone,cough,coughing,difficulty breathing,elemental carbon,isPartial,ozone,fine inhalable particles,fine particles,fine particulates,grey,isPartial,ozone,haze,headache,heart murmur,industrial pollution,isPartial,ozone,inhaler use,inhaler,irregular heartbeat,lung cancer,isPartial,ozone,lung disease,lung irritation,n02,nitrogen dioxide,isPartial,ozone,nitrogen oxides,no2,O3,organic carbon,isPartial,ozone,oxides of nitrogen,traffic emission,particle pollution,particulate matter pollution,isPartial,ozone,particulate matter,pediatric asthma,pink,pm2.5,isPartial,ozone,pm5,power plants,premature death,rapid breathing,isPartial,ozone,Rapid heart rate,rapid pulse,reddish-brown,respiratory illness,isPartial,ozone,respiratory infection,shortness of breath,smog,smoggy,isPartial,ozone,smoke,snoring,soot,sulfate,isPartial,ozone,tailpipe,throat irritation,traffic emission,traffic exposure,isPartial,ozone,traffic,wheezing,wildfires,isPartial
2007-01-01,60,0,0,0,0,False,3,0,0,0,33,False,7,0,0,53,0,False,60,0,0,0,0,False,0,0,0,0,0,False,33,100,0,0,0,False,26,0,0,0,50,False,41,0,0,0,0,False,41,0,0,0,40,False,60,0,0,0,0,False,60,0,0,0,0,False,60,0,0,0,0,False,11,0,0,61,0,False,58,0,0,0,0,False,60,0,0,0,0,False,60,0,0,0,0,False,16,16,0,0,0,False,60,0,58,0,0,False,9,9,0,0,False
2007-01-02,0,0,0,0,0,False,0,0,0,0,48,False,0,0,0,60,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,20,0,0,0,False,0,0,0,0,46,False,0,24,0,25,0,False,0,0,0,0,24,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,70,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,10,0,0,0,False,0,0,0,0,0,False,0,22,0,0,False
2007-01-03,33,0,0,0,0,False,1,0,2,0,50,False,4,0,0,84,0,False,33,0,0,0,0,False,32,0,0,64,0,False,18,19,0,0,0,False,14,0,0,0,85,False,22,0,23,23,0,False,22,0,0,0,67,False,33,0,0,0,0,False,33,0,0,0,0,False,33,0,0,0,0,False,6,0,0,38,0,False,31,0,0,0,0,False,33,0,0,0,0,False,33,34,0,0,0,False,9,18,0,0,9,False,33,0,0,0,0,False,0,21,0,0,False
2007-01-04,0,0,0,0,34,False,0,0,3,0,57,False,0,0,4,43,0,False,0,0,34,0,0,False,0,0,0,0,0,False,0,19,0,0,0,False,0,0,0,0,29,False,0,0,23,23,0,False,0,0,0,0,23,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,61,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,34,34,0,False,0,14,0,0,9,False,0,0,0,0,0,False,0,47,0,0,False
2007-01-05,0,0,0,0,0,False,0,0,6,0,54,False,0,0,4,66,0,False,0,0,66,0,0,False,33,0,0,33,0,False,0,18,18,0,0,False,0,0,0,0,29,False,0,23,23,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,33,0,0,False,0,0,0,0,0,False,0,0,0,56,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,22,0,0,0,False,0,0,0,0,0,False,5,59,0,0,False
2007-01-06,100,0,0,0,0,False,4,0,4,0,59,False,12,0,0,85,0,False,100,0,0,0,0,False,0,0,0,50,0,False,55,28,0,0,0,False,43,0,0,0,33,False,69,0,69,0,0,False,69,0,0,0,0,False,100,0,0,0,0,False,100,0,0,0,0,False,100,0,0,0,0,False,19,0,0,38,0,False,97,0,0,0,0,False,100,0,0,0,0,False,100,0,0,0,0,False,27,20,0,0,13,False,100,0,0,0,0,False,15,23,0,0,False
2007-01-07,0,0,0,0,0,False,0,0,2,0,33,False,0,0,6,68,0,False,0,0,0,49,0,False,0,0,0,49,0,False,0,41,0,0,0,False,0,0,0,0,54,False,0,0,0,0,0,False,0,0,0,0,34,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,61,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,13,0,0,0,False,0,0,0,0,0,False,0,11,8,0,False
2007-01-08,64,0,0,0,0,False,3,0,1,0,47,False,8,0,0,46,0,False,64,0,0,0,0,False,0,0,0,0,0,False,35,18,0,0,0,False,28,0,0,0,49,False,44,22,22,0,0,False,44,0,22,0,22,False,64,0,0,0,0,False,64,0,0,0,0,False,64,0,0,0,0,False,12,0,0,52,0,False,62,0,62,0,0,False,64,0,0,0,0,False,64,0,0,0,0,False,17,13,9,0,0,False,64,0,0,0,0,False,10,17,0,0,False
2007-01-09,32,0,0,0,0,False,1,0,3,0,53,False,4,0,11,59,0,False,32,0,32,0,0,False,0,0,0,31,0,False,18,0,0,0,0,False,14,0,0,0,34,False,22,0,0,0,0,False,22,0,0,0,22,False,32,32,0,0,0,False,32,0,0,0,0,False,32,0,0,0,0,False,6,0,0,45,0,False,31,0,0,0,0,False,32,0,0,0,32,False,32,0,0,0,0,False,9,9,0,0,0,False,32,0,0,0,0,False,5,34,0,0,False
2007-01-10,0,0,0,0,0,False,0,0,0,0,44,False,0,0,4,73,0,False,0,0,32,0,0,False,0,0,0,31,0,False,0,0,0,0,0,False,0,0,0,0,14,False,0,0,33,0,0,False,0,0,22,0,44,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,48,0,False,0,0,31,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,17,0,0,0,False,0,0,0,0,0,False,0,20,0,0,False
