date,ozone,air pollutant,air pollution alert,air pollution,arrhythmia,isPartial,ozone,asthma attack,asthma,black carbon,blue,isPartial,ozone,bronchiolitis,bronchitis,brown,brownish,isPartial,ozone,cardiovascular disease,chest pain,chest tightness,childhood asthma,isPartial,ozone,chronic obstructive pulmonary disease,code orange,code red,COPD,isPartial,ozone,cough,coughing,difficulty breathing,elemental carbon,isPartial,ozone,fine inhalable particles,fine particles,fine particulates,grey,isPartial,ozone,haze,headache,heart murmur,industrial pollution,isPartial,ozone,inhaler use,inhaler,irregular heartbeat,lung cancer,isPartial,ozone,lung disease,lung irritation,n02,nitrogen dioxide,isPartial,ozone,nitrogen oxides,no2,O3,organic carbon,isPartial,ozone,oxides of nitrogen,traffic emission,particle pollution,particulate matter pollution,isPartial,ozone,particulate matter,pediatric asthma,pink,pm2.5,isPartial,ozone,pm5,power plants,premature death,rapid breathing,isPartial,ozone,Rapid heart rate,rapid pulse,reddish-brown,respiratory illness,isPartial,ozone,respiratory infection,shortness of breath,smog,smoggy,isPartial,ozone,smoke,snoring,soot,sulfate,isPartial,ozone,tailpipe,throat irritation,traffic emission,traffic exposure,isPartial,ozone,traffic,wheezing,wildfires,isPartial
2007-01-01,0,0,0,0,0,False,0,0,6,0,69,False,0,0,0,57,0,False,0,0,0,40,0,False,0,0,0,0,0,False,0,40,80,0,0,False,0,0,0,0,35,False,0,0,40,0,0,False,0,0,0,0,42,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,33,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,40,0,0,False,0,100,0,0,0,False,0,0,0,0,0,False,0,0,0,0,False
2007-01-02,25,0,0,0,0,False,3,0,0,0,61,False,7,0,7,45,0,False,25,0,0,0,0,False,25,0,0,0,0,False,25,37,0,0,0,False,21,0,0,0,31,False,25,25,37,0,0,False,25,0,0,25,0,False,25,0,0,0,0,False,25,0,0,0,0,False,25,0,0,0,0,False,8,0,0,39,0,False,25,0,0,0,0,False,25,0,0,0,0,False,25,0,0,0,0,False,21,31,0,0,21,False,25,0,0,0,0,False,6,24,0,0,False
2007-01-03,0,0,0,0,0,False,0,0,0,0,60,False,0,0,0,43,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,20,False,0,0,35,0,0,False,0,0,0,0,24,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,38,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,24,0,24,0,False,0,39,0,0,20,False,0,0,0,0,0,False,0,20,6,0,False
2007-01-04,24,0,0,0,0,False,3,0,3,0,57,False,7,0,0,67,0,False,24,0,0,0,0,False,24,0,0,24,24,False,24,24,0,0,0,False,20,0,0,0,30,False,24,0,0,0,0,False,24,0,0,24,24,False,24,0,0,0,0,False,24,0,0,0,0,False,24,0,0,0,0,False,0,0,0,45,0,False,24,0,0,0,0,False,24,0,0,0,0,False,24,0,24,0,0,False,20,20,0,0,0,False,24,0,0,0,0,False,0,14,0,0,False
2007-01-05,0,0,0,0,0,False,0,0,3,0,49,False,0,0,7,65,0,False,0,0,25,0,0,False,0,0,0,0,0,False,0,37,25,0,0,False,0,0,0,0,42,False,0,0,0,0,0,False,0,0,0,0,24,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,59,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,24,0,0,0,False,0,42,0,0,0,False,0,0,0,0,0,False,0,33,0,0,False
2007-01-06,0,0,0,0,0,False,0,0,0,0,49,False,0,0,0,65,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,34,0,0,False,0,0,0,0,42,False,0,0,0,0,0,False,0,0,0,0,33,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,11,0,0,21,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,54,0,0,0,False,0,0,0,0,0,False,8,12,0,0,False
2007-01-07,0,0,0,0,0,False,0,0,0,0,32,False,0,0,0,53,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,70,0,0,0,False,0,0,0,0,29,False,0,0,70,0,0,False,0,0,35,0,35,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,66,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,29,0,0,0,False,0,0,0,0,0,False,0,8,0,0,False
2007-01-08,0,0,0,0,0,False,0,0,3,0,48,False,0,0,7,33,0,False,0,24,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,30,False,0,24,23,23,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,56,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,20,19,0,0,False,0,0,0,0,0,False,0,17,0,0,False
2007-01-09,0,0,0,0,0,False,0,0,0,0,56,False,0,0,13,52,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,23,24,0,0,False,0,0,0,0,0,False,0,0,23,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,11,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,19,19,0,0,False,0,0,0,0,0,False,0,25,0,0,False
2007-01-10,0,0,0,0,23,False,0,0,3,0,55,False,0,6,0,39,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,19,False,0,0,0,0,0,False,0,0,0,0,46,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,7,0,0,30,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,23,0,False,0,29,0,0,0,False,0,0,0,0,0,False,6,20,0,0,False
