date,ozone,air pollutant,air pollution alert,air pollution,arrhythmia,isPartial,ozone,asthma attack,asthma,black carbon,blue,isPartial,ozone,bronchiolitis,bronchitis,brown,brownish,isPartial,ozone,cardiovascular disease,chest pain,chest tightness,childhood asthma,isPartial,ozone,chronic obstructive pulmonary disease,code orange,code red,COPD,isPartial,ozone,cough,coughing,difficulty breathing,elemental carbon,isPartial,ozone,fine inhalable particles,fine particles,fine particulates,grey,isPartial,ozone,haze,headache,heart murmur,industrial pollution,isPartial,ozone,inhaler use,inhaler,irregular heartbeat,lung cancer,isPartial,ozone,lung disease,lung irritation,n02,nitrogen dioxide,isPartial,ozone,nitrogen oxides,no2,O3,organic carbon,isPartial,ozone,oxides of nitrogen,traffic emission,particle pollution,particulate matter pollution,isPartial,ozone,particulate matter,pediatric asthma,pink,pm2.5,isPartial,ozone,pm5,power plants,premature death,rapid breathing,isPartial,ozone,Rapid heart rate,rapid pulse,reddish-brown,respiratory illness,isPartial,ozone,respiratory infection,shortness of breath,smog,smoggy,isPartial,ozone,smoke,snoring,soot,sulfate,isPartial,ozone,tailpipe,throat irritation,traffic emission,traffic exposure,isPartial,ozone,traffic,wheezing,wildfires,isPartial
2007-01-01,100,0,0,0,0,False,14,0,0,0,58,False,33,0,0,74,0,False,100,0,0,0,0,False,100,0,0,0,0,False,100,50,0,0,0,False,76,0,0,0,0,False,100,0,0,0,0,False,100,0,0,0,0,False,100,0,0,0,0,False,100,0,0,0,0,False,100,0,0,0,0,False,38,0,0,76,0,False,100,0,0,0,0,False,100,0,0,0,0,False,100,0,0,0,0,False,53,27,0,0,0,False,100,0,0,0,0,False,40,40,0,0,False
2007-01-02,0,0,0,0,0,False,0,0,0,0,69,False,0,0,10,98,0,False,0,0,30,0,0,False,0,0,0,0,0,False,0,30,0,0,0,False,0,0,0,0,23,False,0,0,0,29,0,False,0,0,30,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,39,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,35,0,0,False
2007-01-03,0,0,0,0,0,False,0,0,4,0,64,False,0,9,0,42,0,False,0,0,0,0,0,False,0,0,28,0,0,False,0,28,0,0,0,False,0,0,0,0,21,False,0,28,0,0,0,False,0,0,28,0,28,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,21,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,15,15,0,0,False,0,0,0,0,0,False,0,45,0,0,False
2007-01-04,0,0,0,0,0,False,0,0,4,0,40,False,0,0,0,33,0,False,57,0,0,0,0,False,0,0,0,0,0,False,0,29,0,0,0,False,0,0,0,0,22,False,0,0,29,0,0,False,0,0,0,0,29,False,0,0,0,0,0,False,57,0,0,0,0,False,0,0,0,0,0,False,0,0,0,16,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,29,0,False,0,16,0,0,0,False,0,0,0,0,0,False,0,34,0,0,False
2007-01-05,0,0,0,0,0,False,0,0,0,0,62,False,0,0,0,52,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,76,False,0,0,0,0,0,False,0,0,29,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,55,0,False,0,0,29,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,15,0,0,0,False,0,0,0,0,0,False,0,23,0,0,False
2007-01-06,40,0,0,0,0,False,6,0,0,0,83,False,13,0,0,20,0,False,40,0,0,0,0,False,40,0,0,0,0,False,40,40,0,0,0,False,30,0,0,0,61,False,40,0,0,0,0,False,40,0,0,0,0,False,40,0,0,0,0,False,40,0,0,0,0,False,40,0,0,0,0,False,15,0,0,38,0,False,40,0,0,0,0,False,40,0,0,0,0,False,40,0,0,0,0,False,21,0,0,0,0,False,40,0,0,0,0,False,16,48,0,0,False
2007-01-07,0,0,0,0,0,False,0,0,0,0,67,False,0,0,0,42,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,42,0,0,False,0,0,0,0,32,False,0,0,0,0,0,False,0,0,0,0,42,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,40,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,23,0,0,0,False,0,0,0,0,0,False,0,0,0,0,False
2007-01-08,0,0,0,0,0,False,0,0,0,0,70,False,0,0,0,60,0,False,28,0,0,0,0,False,0,0,0,0,0,False,0,42,0,0,0,False,0,0,0,0,42,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,28,0,0,0,0,False,0,0,0,0,0,False,0,0,0,37,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,15,15,0,0,False,0,0,0,0,0,False,0,33,0,0,False
2007-01-09,0,0,0,0,0,False,0,0,0,0,68,False,0,0,0,40,0,False,27,0,0,0,0,False,0,0,0,0,0,False,0,27,28,0,0,False,0,0,0,0,0,False,0,28,27,0,0,False,0,0,27,27,0,False,0,0,0,0,0,False,27,0,0,0,0,False,0,0,0,0,0,False,0,0,0,36,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,30,0,0,0,False,0,0,0,0,0,False,0,16,0,0,False
2007-01-10,27,0,0,27,0,False,4,0,0,0,64,False,9,0,0,22,0,False,27,0,0,0,0,False,27,0,0,0,0,False,27,27,27,0,0,False,21,0,0,0,21,False,27,27,0,0,0,False,27,0,0,0,27,False,27,0,0,0,0,False,27,0,0,0,0,False,27,0,0,0,0,False,10,0,0,62,0,False,27,0,0,0,0,False,27,0,0,0,0,False,27,0,0,0,0,False,15,22,0,0,15,False,27,0,0,0,0,False,11,43,0,0,False
