date,ozone,air pollutant,air pollution alert,air pollution,arrhythmia,isPartial,ozone,asthma attack,asthma,black carbon,blue,isPartial,ozone,bronchiolitis,bronchitis,brown,brownish,isPartial,ozone,cardiovascular disease,chest pain,chest tightness,childhood asthma,isPartial,ozone,chronic obstructive pulmonary disease,code orange,code red,COPD,isPartial,ozone,cough,coughing,difficulty breathing,elemental carbon,isPartial,ozone,fine inhalable particles,fine particles,fine particulates,grey,isPartial,ozone,haze,headache,heart murmur,industrial pollution,isPartial,ozone,inhaler use,inhaler,irregular heartbeat,lung cancer,isPartial,ozone,lung disease,lung irritation,n02,nitrogen dioxide,isPartial,ozone,nitrogen oxides,no2,O3,organic carbon,isPartial,ozone,oxides of nitrogen,traffic emission,particle pollution,particulate matter pollution,isPartial,ozone,particulate matter,pediatric asthma,pink,pm2.5,isPartial,ozone,pm5,power plants,premature death,rapid breathing,isPartial,ozone,Rapid heart rate,rapid pulse,reddish-brown,respiratory illness,isPartial,ozone,respiratory infection,shortness of breath,smog,smoggy,isPartial,ozone,smoke,snoring,soot,sulfate,isPartial,ozone,tailpipe,throat irritation,traffic emission,traffic exposure,isPartial,ozone,traffic,wheezing,wildfires,isPartial,ozone,air pollutant,air pollution alert,air pollution,arrhythmia,isPartial,ozone,asthma attack,asthma,black carbon,blue,isPartial,ozone,bronchiolitis,bronchitis,brown,brownish,isPartial,ozone,cardiovascular disease,chest pain,chest tightness,childhood asthma,isPartial,ozone,chronic obstructive pulmonary disease,code orange,code red,COPD,isPartial,ozone,cough,coughing,difficulty breathing,elemental carbon,isPartial,ozone,fine inhalable particles,fine particles,fine particulates,grey,isPartial,ozone,haze,headache,heart murmur,industrial pollution,isPartial,ozone,inhaler use,inhaler,irregular heartbeat,lung cancer,isPartial,ozone,lung disease,lung irritation,n02,nitrogen dioxide,isPartial,ozone,nitrogen oxides,no2,O3,organic carbon,isPartial,ozone,oxides of nitrogen,traffic emission,particle pollution,particulate matter pollution,isPartial,ozone,particulate matter,pediatric asthma,pink,pm2.5,isPartial,ozone,pm5,power plants,premature death,rapid breathing,isPartial,ozone,Rapid heart rate,rapid pulse,reddish-brown,respiratory illness,isPartial,ozone,respiratory infection,shortness of breath,smog,smoggy,isPartial,ozone,smoke,snoring,soot,sulfate,isPartial,ozone,tailpipe,throat irritation,traffic emission,traffic exposure,isPartial,ozone,traffic,wheezing,wildfires,isPartial
2007-01-01,0,0,0,0,0,False,0,0,6,0,69,False,0,0,0,57,0,False,0,0,0,40,0,False,0,0,0,0,0,False,0,40,80,0,0,False,0,0,0,0,35,False,0,0,40,0,0,False,0,0,0,0,42,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,33,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,40,0,0,False,0,100,0,0,0,False,0,0,0,0,0,False,0,0,0,0,False,30,0,0,0,0,False,1,0,1,0,81,False,3,0,3,66,0,False,36,0,0,0,0,False,30,0,0,30,30,False,23,23,23,0,0,False,8,0,0,0,35,False,28,71,56,0,0,False,27,0,0,0,26,False,36,0,0,0,0,False,36,0,0,0,0,False,30,0,0,0,0,False,4,0,0,83,0,False,36,0,0,0,0,False,36,0,0,0,0,False,36,0,36,0,0,False,12,30,0,12,0,False,36,0,0,0,0,False,2,21,0,0,False
2007-01-02,25,0,0,0,0,False,3,0,0,0,61,False,7,0,7,45,0,False,25,0,0,0,0,False,25,0,0,0,0,False,25,37,0,0,0,False,21,0,0,0,31,False,25,25,37,0,0,False,25,0,0,25,0,False,25,0,0,0,0,False,25,0,0,0,0,False,25,0,0,0,0,False,8,0,0,39,0,False,25,0,0,0,0,False,25,0,0,0,0,False,25,0,0,0,0,False,21,31,0,0,21,False,25,0,0,0,0,False,6,24,0,0,False,18,0,0,18,18,False,1,0,1,1,76,False,3,0,4,84,0,False,32,0,43,0,0,False,18,0,27,18,0,False,20,54,27,0,0,False,7,0,0,0,48,False,25,34,17,17,0,False,24,0,16,0,31,False,32,0,0,0,0,False,32,0,0,0,21,False,18,0,0,0,0,False,4,0,0,53,0,False,32,0,21,0,0,False,32,0,0,0,0,False,32,0,21,0,0,False,11,49,11,0,7,False,32,0,0,0,0,False,1,13,0,0,False
2007-01-03,0,0,0,0,0,False,0,0,0,0,60,False,0,0,0,43,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,20,False,0,0,35,0,0,False,0,0,0,0,24,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,38,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,24,0,24,0,False,0,39,0,0,20,False,0,0,0,0,0,False,0,20,6,0,False,26,0,0,17,17,False,1,0,2,0,79,False,3,0,3,72,0,False,42,0,31,0,0,False,26,0,17,0,0,False,27,66,13,0,0,False,9,0,0,0,40,False,33,33,33,16,0,False,31,0,0,0,76,False,42,21,0,0,0,False,42,0,21,0,0,False,26,0,0,0,0,False,5,2,0,57,0,False,42,0,21,0,0,False,42,0,0,0,0,False,42,0,0,21,0,False,14,38,7,0,10,False,42,0,0,0,0,False,2,15,0,0,False
2007-01-04,24,0,0,0,0,False,3,0,3,0,57,False,7,0,0,67,0,False,24,0,0,0,0,False,24,0,0,24,24,False,24,24,0,0,0,False,20,0,0,0,30,False,24,0,0,0,0,False,24,0,0,24,24,False,24,0,0,0,0,False,24,0,0,0,0,False,24,0,0,0,0,False,0,0,0,45,0,False,24,0,0,0,0,False,24,0,0,0,0,False,24,0,24,0,0,False,20,20,0,0,0,False,24,0,0,0,0,False,0,14,0,0,False,35,0,0,26,0,False,3,0,3,1,69,False,7,0,4,79,0,False,85,0,0,0,0,False,35,0,0,0,17,False,54,67,13,0,0,False,18,0,0,0,20,False,67,25,42,0,0,False,62,0,0,0,39,False,85,0,0,0,0,False,85,0,0,0,0,False,35,0,0,0,0,False,10,0,0,59,0,False,85,0,0,0,0,False,85,0,0,0,0,False,85,0,21,21,0,False,28,49,14,0,7,False,85,0,0,0,0,False,4,12,0,0,False
2007-01-05,0,0,0,0,0,False,0,0,3,0,49,False,0,0,7,65,0,False,0,0,25,0,0,False,0,0,0,0,0,False,0,37,25,0,0,False,0,0,0,0,42,False,0,0,0,0,0,False,0,0,0,0,24,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,59,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,24,0,0,0,False,0,42,0,0,0,False,0,0,0,0,0,False,0,33,0,0,False,18,0,0,36,18,False,1,0,4,0,77,False,2,0,3,85,0,False,22,22,22,22,0,False,18,0,18,0,0,False,14,42,0,0,0,False,5,0,0,0,40,False,17,17,26,35,0,False,16,0,0,0,40,False,22,0,0,0,0,False,22,0,22,0,0,False,18,0,0,0,0,False,3,0,3,57,0,False,22,0,0,0,0,False,22,0,0,0,22,False,22,0,0,44,0,False,7,47,0,0,7,False,22,0,0,0,0,False,1,12,0,0,False
2007-01-06,0,0,0,0,0,False,0,0,0,0,49,False,0,0,0,65,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,34,0,0,False,0,0,0,0,42,False,0,0,0,0,0,False,0,0,0,0,33,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,11,0,0,21,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,54,0,0,0,False,0,0,0,0,0,False,8,12,0,0,False,27,0,0,0,0,False,1,0,4,0,65,False,3,3,0,89,0,False,32,0,63,0,0,False,27,0,0,0,0,False,20,41,20,0,0,False,7,0,0,0,27,False,25,25,100,0,0,False,24,0,24,0,24,False,32,0,0,0,0,False,32,0,32,0,0,False,26,0,0,0,0,False,4,0,0,66,0,False,32,0,32,0,0,False,32,0,0,0,0,False,32,0,0,0,0,False,11,68,21,0,0,False,32,0,0,0,0,False,1,6,1,0,False
2007-01-07,0,0,0,0,0,False,0,0,0,0,32,False,0,0,0,53,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,70,0,0,0,False,0,0,0,0,29,False,0,0,70,0,0,False,0,0,35,0,35,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,66,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,29,0,0,0,False,0,0,0,0,0,False,0,8,0,0,False,26,0,0,26,26,False,1,0,3,0,70,False,3,0,0,81,0,False,31,0,62,0,0,False,26,0,0,0,26,False,20,50,20,0,0,False,7,0,0,0,57,False,25,24,49,0,0,False,23,0,0,0,46,False,31,0,0,0,0,False,31,0,31,0,0,False,26,0,0,0,0,False,4,0,0,68,0,False,31,0,31,0,0,False,31,0,0,0,0,False,31,0,0,0,0,False,10,46,10,0,10,False,31,0,0,0,0,False,1,14,0,0,False
2007-01-08,0,0,0,0,0,False,0,0,3,0,48,False,0,0,7,33,0,False,0,24,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,30,False,0,24,23,23,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,56,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,20,19,0,0,False,0,0,0,0,0,False,0,17,0,0,False,68,0,0,17,17,False,2,0,2,0,80,False,6,0,5,81,0,False,72,0,41,20,0,False,68,0,0,17,34,False,46,46,13,13,0,False,15,0,0,0,35,False,57,48,24,16,0,False,53,0,15,0,15,False,72,0,0,0,0,False,72,0,0,0,0,False,68,0,0,0,0,False,9,0,0,69,0,False,72,0,41,0,0,False,72,0,21,0,0,False,72,0,0,21,0,False,24,34,7,0,7,False,72,20,0,0,0,False,3,15,0,0,False
2007-01-09,0,0,0,0,0,False,0,0,0,0,56,False,0,0,13,52,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,23,24,0,0,False,0,0,0,0,0,False,0,0,23,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,11,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,19,19,0,0,False,0,0,0,0,0,False,0,25,0,0,False,42,0,0,17,17,False,1,0,1,0,72,False,3,0,4,72,0,False,30,20,0,0,0,False,42,0,0,17,0,False,19,45,26,0,0,False,6,0,0,0,56,False,24,32,48,0,0,False,22,0,15,0,29,False,30,41,0,0,0,False,30,0,20,0,0,False,42,0,0,0,0,False,4,0,0,68,0,False,30,0,20,0,0,False,30,0,0,0,0,False,30,40,20,20,0,False,10,30,7,0,7,False,30,0,0,0,0,False,1,12,1,1,False
2007-01-10,0,0,0,0,23,False,0,0,3,0,55,False,0,6,0,39,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,19,False,0,0,0,0,0,False,0,0,0,0,46,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,7,0,0,30,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,23,0,False,0,29,0,0,0,False,0,0,0,0,0,False,6,20,0,0,False,52,0,0,51,0,False,2,0,3,0,74,False,5,0,2,84,0,False,62,0,21,0,0,False,52,0,0,17,0,False,40,39,0,0,0,False,13,0,0,0,38,False,49,33,41,0,0,False,46,0,15,0,23,False,62,0,0,0,0,False,62,0,21,21,0,False,51,0,0,0,0,False,7,0,0,52,0,False,62,0,0,0,0,False,62,0,0,0,0,False,62,31,21,0,0,False,20,68,7,7,7,False,62,0,0,0,0,False,3,15,0,0,False
